district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,666,433.00,21,81.98,18.93,7734,14033.00,5167,9884.32,70.44,82098,72147.78,24830,28095.96,38.94
Chatra,55,36.00,,,0.00,5664,9224.00,3874,3953.26,42.86,73628,43450.58,18395,13627.80,31.36
Deoghar,12741,8282.00,10,174.44,2.11,4385,25596.00,941,12137.86,47.42,93253,93107.68,32108,32440.21,34.84
Dhanbad,1998,1299.00,30,62.35,4.80,6055,19693.00,3682,12938.16,65.70,78714,74597.84,25040,35885.39,48.11
Dumka,73,48.00,18,12.85,26.77,1187,1925.00,601,930.51,48.34,67883,51680.41,23355,16755.56,32.42
East Singhbhum,461,300.00,14,106.84,35.61,8085,21721.00,6910,18443.01,84.91,119648,95683.21,38178,46295.85,48.38
Garhwa,18,12.00,11,4.65,38.75,1094,1643.00,294,554.22,33.73,66013,70433.00,23784,21765.30,30.90
Giridih,505,328.00,10,17.65,5.38,7431,9985.00,5169,8259.75,82.72,117619,67973.37,33011,29843.29,43.90
Godda,18,12.00,4,1.55,12.92,2358,3313.00,1314,1640.81,49.53,67396,60735.30,18993,15496.27,25.51
Gumla,6,4.00,2,1.60,40.00,3749,7991.00,2106,4379.50,54.81,48944,37108.70,10220,11659.66,31.42
Hazaribagh,140,92.00,18,42.82,46.55,7735,21308.00,4997,13843.39,64.97,118762,90537.59,35144,40202.91,44.40
Jamtara,37,24.00,4,2.55,10.63,1653,2822.00,1081,1533.35,54.34,43514,35404.52,12614,9919.13,28.02
Khunti,469,305.00,1,,0.00,1986,5770.00,1315,2259.35,39.16,29254,22607.50,9200,7732.96,34.21
Koderma,111,72.00,,,0.00,4816,11242.00,3729,7242.43,64.42,59882,33647.90,15705,15746.47,46.80
Latehar,,,65,28.25,#DIV/0!,1656,2724.00,941,1381.33,50.71,27932,26753.01,8385,8324.41,31.12
Lohardaga,123,80.00,6,2.35,2.94,3037,6179.00,1817,3792.58,61.38,41406,21451.62,8348,9014.69,42.02
Pakur,469,305.00,59,50.40,16.52,2147,3524.00,1535,1309.41,37.16,35305,32511.12,10565,9167.38,28.20
Palamu,37,24.00,177,89.00,370.83,3433,5187.00,1588,2322.09,44.77,93478,95841.16,36596,32337.98,33.74
Ramgarh,476,309.00,7,19.33,6.26,3858,7643.00,2773,4452.01,58.25,42877,30649.88,15395,13782.50,44.97
Ranchi,8971,5834.00,52,569.50,9.76,7568,58075.00,4918,46995.42,80.92,1117516,466863.41,375477,217029.73,46.49
Sahibganj,18,12.00,6,3.05,25.42,1541,2740.00,848,975.55,35.60,49864,52458.91,13934,14237.50,27.14
Seraikela-Kharsawan,3054,1985.00,3,10.65,0.54,3796,6055.00,2973,6454.90,106.60,159438,67066.17,49449,30841.43,45.99
Simdega,43,28.00,,,0.00,2364,3964.00,1563,2106.24,53.13,31884,17336.21,6685,6157.86,35.52
West Singhbhum,271,176.00,,,0.00,2908,7643.00,2389,3226.95,42.22,79370,48453.57,18978,16066.79,33.16
