district,sponsering_bank,target_fy_2023_24_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2023_24_up_to_the_end_of_september_2023_nu,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,28,810,13,46.43,378,46.67,
Chatra,BANK OF INDIA,32,800,13,40.63,398,49.75,
Deoghar,STATE BANK OF INDIA,33,825,14,42.42,440,53.33,
Dhanbad,BANK OF INDIA,30,810,12,40.00,378,46.67,
Dumka,INDIAN BANK,30,800,13,43.33,383,47.88,
Garhwa,STATE BANK OF INDIA,27,800,14,51.85,411,51.38,
Giridih,BANK OF INDIA,33,825,11,33.33,316,38.30,
Godda,INDIAN BANK,30,750,11,36.67,346,46.13,
Gumla,BANK OF INDIA,33,825,15,45.45,420,50.91,
Hazaribagh,INDIAN BANK,32,800,11,34.38,298,37.25,
Jamtara,STATE BANK OF INDIA,25,750,13,52.00,369,49.20,
Khunti,BANK OF INDIA,30,800,14,46.67,403,50.38,
Koderma,BANK OF INDIA,29,790,15,51.72,443,56.08,
Latehar,STATE BANK OF INDIA,30,750,15,50.00,429,57.20,
Lohardaga,BANK OF INDIA,30,825,12,40.00,295,35.76,
Pakur,STATE BANK OF INDIA,30,750,11,36.67,313,41.73,
Palamu,STATE BANK OF INDIA,32,800,13,40.63,359,44.88,
Ramgarh,BANK OF INDIA,25,630,9,36.00,268,42.54,
Ranchi,RUDSETICANARA BANK,33,825,14,42.42,365,44.24,
Sahibganj,STATE BANK OF INDIA,30,750,14,46.67,369,49.20,
Simdega,BANK OF INDIA,33,825,17,51.52,417,50.55,
