district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2342282,1732508,73.97,1626639,69.45,
Chatra,1171501,936274,79.92,863629,73.72,
Deoghar,2010048,1423266,70.81,1146969,57.06,
Dhanbad,3129264,2307346,73.73,2119646,67.74,
Dumka,1564745,1057106,67.56,865987,55.34,
East Singhbhum,3299092,2402947,72.84,2122661,64.34,
Garhwa,1511030,1129232,74.73,957428,63.36,
Giridih,2775800,2209656,79.60,2027438,73.04,
Godda,1508363,1050620,69.65,791067,52.45,
Gumla,1094963,877394,80.13,781719,71.39,
Hazaribagh,2336375,1803584,77.20,1646628,70.48,
Jamtara,889043,655613,73.74,555212,62.45,
Khunti,605886,477716,78.85,464876,76.73,
Koderma,950204,772320,81.28,678602,71.42,
Latehar,882283,684221,77.55,558283,63.28,
Lohardaga,612018,488137,79.76,492315,80.44,
Pakur,1044586,793870,76.00,666961,63.85,
Palamu,2470664,1810228,73.27,1501527,60.77,
Ramgarh,1161186,865794,74.56,772400,66.52,
Ranchi,4757382,3458759,72.70,2861419,60.15,
Sahibganj,1405785,1062170,75.56,834129,59.34,
Simdega,665173,536939,80.72,549398,82.59,
West Singhbhum,1768665,1382017,78.14,1195932,67.62,
