district,outstanding_30092023_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042023_to_30092023_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,15954,26880.75,10397,17126.07,2937,3914.75,1542,2340.21,
Chatra,11411,9986.14,5716,5908.78,2031,1912.92,838,1326.75,
Deoghar,18352,15938.59,13520,11567.08,2886,3479.23,2359,2694.31,
Dhanbad,25404,58356.06,13172,17499.34,3235,7898.75,2017,3028.93,
Dumka,14258,12997.51,21213,25749.48,2559,3629.31,3430,5191.25,
East Singhbhum,20135,22963.85,44248,50752.83,4209,4906.47,6339,7728.60,
Garhwa,22915,17910.99,14895,14050.98,4585,4451.35,2045,3183.31,
Giridih,19002,15215.49,11529,10054.16,3815,3784.18,1665,2281.73,
Godda,11573,11644.69,16482,21642.52,1774,2365.55,2610,3396.10,
Gumla,6190,5320.11,27458,25362.80,592,991.07,2312,2935.43,
Hazaribagh,24762,23012.26,9897,14080.04,4014,5140.32,1990,3818.64,
Jamtara,7183,6814.85,12178,11221.31,848,1234.04,1627,1802.84,
Khunti,3918,4520.84,19230,19846.36,1155,969.24,2696,2488.78,
Koderma,8990,6939.82,2281,2470.14,1271,1366.84,364,532.50,
Latehar,7587,9243.68,10147,13068.37,1393,1878.55,1498,2114.67,
Lohardaga,3448,3471.58,15229,14997.81,595,522.35,1628,1636.40,
Pakur,6138,5935.89,13349,13196.84,1276,1637.53,2433,2178.53,
Palamu,38806,32497.30,21275,22659.65,7313,7175.12,2974,4815.98,
Ramgarh,7913,14762.14,10913,20376.46,1721,2265.16,1547,2743.20,
Ranchi,258569,102869.59,203061,158892.94,90472,42249.37,61513,36105.80,
Sahibganj,6914,7618.05,18813,18353.73,1273,2315.79,3176,4009.18,
Seraikela-Kharsawan,24930,12131.10,43689,27866.97,8109,4360.45,11602,6378.67,
Simdega,4039,3098.82,13570,11495.00,515,496.44,1482,1472.52,
West Singhbhum,11352,12201.96,47483,50452.07,1686,2570.23,5005,6294.56,
