district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,73698,57681.78,19642,18129.66,31.43,54209,33828.31,10739,7803.24,23.07
Chatra,67909,34190.58,14521,9674.55,28.30,58197,22983.69,10002,5775.14,25.13
Deoghar,76127,59229.68,31157,20127.91,33.98,59209,40124.33,20369,11674.95,29.10
Dhanbad,70661,53605.84,21328,22884.88,42.69,37809,20326.71,6935,7437.04,36.59
Dumka,66623,49707.41,22736,15812.21,31.81,43671,27008.91,12188,6077.39,22.50
East Singhbhum,111102,73662.21,31254,27746.00,37.67,87323,40507.03,16562,11948.46,29.50
Garhwa,64901,68778.00,23479,21206.44,30.83,30470,35241.50,9128,8346.46,23.68
Giridih,109683,57660.37,27832,21565.90,37.40,84491,29656.67,13022,8647.58,29.16
Godda,65020,57410.30,17675,13853.91,24.13,46243,37817.78,10094,6747.14,17.84
Gumla,45189,29113.70,8112,7278.56,25.00,40945,22688.59,5676,3978.64,17.54
Hazaribagh,110887,69137.59,30129,26316.70,38.06,77552,34395.42,13717,10307.27,29.97
Jamtara,41824,32558.52,11529,8383.23,25.75,37847,26717.28,8656,5711.03,21.38
Khunti,26799,16532.50,7884,5473.61,33.11,23142,10572.56,4737,2641.86,24.99
Koderma,54955,22333.90,11976,8504.04,38.08,39566,9702.28,5369,2820.20,29.07
Latehar,26276,24029.01,7379,6914.83,28.78,20371,16661.13,4586,3311.84,19.88
Lohardaga,38246,15192.62,6525,5219.76,34.36,33331,11437.09,4524,3541.87,30.97
Pakur,32689,28682.12,8971,7807.58,27.22,24280,17544.09,4401,2898.13,16.52
Palamu,90008,90630.16,34831,29926.89,33.02,45232,49892.31,14791,13533.52,27.13
Ramgarh,38543,22697.88,12615,9311.15,41.02,26690,10256.72,5386,3075.31,29.98
Ranchi,1100977,402954.41,370507,169464.81,42.06,92137,50517.08,15078,11394.76,22.56
Sahibganj,48305,49706.91,13080,13258.90,26.67,34427,30349.44,7043,5505.99,18.14
Seraikela-Kharsawan,152588,59026.17,46473,24375.89,41.30,63727,21837.90,10252,6027.83,27.60
Simdega,29477,13344.21,5122,4051.62,30.36,22824,7183.62,3121,1670.99,23.26
West Singhbhum,76191,40634.57,16589,12839.84,31.60,65683,26749.56,12159,6178.41,23.10
