district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,17603,187419.00,11977,79151.21,499,46052.17,75,32452.41,19,212.23,12570,157868.01,84.23
Chatra,3567,17845.00,2637,10836.38,44,3180.56,7,168.56,1,0.01,2689,14185.52,79.49
Deoghar,10076,95019.00,7705,41882.17,330,23177.88,27,10675.68,6,5.46,8068,75741.20,79.71
Dhanbad,22124,336626.00,19799,123045.10,994,115127.32,136,29794.59,10,339.44,20939,268306.46,79.70
Dumka,10286,55010.00,4371,16228.21,247,13833.34,22,4344.97,7,115.62,4647,34522.14,62.76
East Singhbhum,25073,562776.00,17447,154757.67,1952,200135.32,446,145690.82,17,78.29,19862,500662.10,88.96
Garhwa,3460,18193.00,2334,10360.73,72,2162.11,3,48.83,1,19.29,2410,12590.96,69.21
Giridih,13681,93626.00,12452,48630.91,261,18940.08,23,3461.73,3,35.06,12739,71067.78,75.91
Godda,8036,30491.00,4573,14654.80,198,5419.65,5,1171.30,,,4776,21245.76,69.68
Gumla,3402,16665.00,1876,10103.60,62,2891.48,3,72.35,,,1941,13067.44,78.41
Hazaribagh,12628,112471.00,10558,52986.68,383,27415.42,20,3040.37,5,43.79,10966,83486.26,74.23
Jamtara,3029,11538.00,2343,5908.51,76,1726.05,1,4.50,4,10.33,2424,7649.38,66.30
Khunti,2644,11800.00,1592,6869.91,49,2612.24,,,1,4.75,1642,9486.90,80.40
Koderma,5895,43091.00,6071,25094.22,115,4455.41,18,3173.42,3,9.05,6207,32732.10,75.96
Latehar,2089,12514.00,2740,8305.42,41,2220.09,3,65.50,,,2784,10591.01,84.63
Lohardaga,2704,16483.00,1697,9082.04,55,2140.59,4,718.68,6,32.84,1762,11974.15,72.65
Pakur,3389,24575.00,4630,12269.34,196,6054.49,9,533.73,,,4835,18857.56,76.73
Palamu,7306,45387.00,3846,20085.45,189,10446.40,16,973.83,,,4051,31505.67,69.42
Ramgarh,8043,77891.00,5395,31846.65,241,20533.34,19,9933.94,4,10.35,5659,62324.29,80.01
Ranchi,57246,706363.00,44940,236807.85,1849,217147.02,249,118385.07,11,286.75,47049,572626.68,81.07
Sahibganj,5248,17717.00,4069,8635.88,66,1529.18,13,107.91,4,8.04,4152,10281.00,58.03
Seraikela-Kharsawan,16747,123012.00,9999,30540.84,284,42457.53,85,39290.21,7,207.42,10375,112496.00,91.45
Simdega,2078,9933.00,1385,5899.77,46,834.18,1,1.27,,,1432,6735.23,67.81
West Singhbhum,7206,41055.00,4271,17224.97,173,7241.88,31,1714.02,19,0.17,4494,26181.05,63.77
