district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,583,1393.93,6410,6020.74,156,149.59,116,265.86,1,0.30,26,183.30,7292,8013.72
Chatra,468,761.84,1606,1154.18,2,,18,36.76,,,2,60.50,2096,2013.28
Deoghar,1329,1541.67,8783,5781.01,28,25.77,33,37.35,1,,6,0.83,10180,7386.63
Dhanbad,756,1317.91,16654,12964.22,299,229.72,251,703.59,,,16,46.43,17976,15261.88
Dumka,1473,2250.77,4164,1427.68,11,16.19,25,15.10,4,5.54,1,0.60,5678,3715.90
East Singhbhum,1310,2430.51,8379,10168.82,272,250.00,1144,4837.68,5,11.52,27,204.87,11137,17903.40
Garhwa,940,1703.91,3895,1834.13,7,0.40,24,4.33,,,7,2.75,4873,3545.52
Giridih,572,995.83,11243,8023.36,11,10.35,49,1119.12,2,0.90,44,164.78,11921,10314.33
Godda,951,1212.04,6786,2580.32,19,7.40,23,0.08,,,,,7779,3799.83
Gumla,1444,1498.06,1056,815.73,,,19,11.54,,,2,17.20,2521,2342.53
Hazaribagh,1031,2002.91,7747,7956.93,54,102.42,85,560.07,1,0.00,46,139.12,8964,10761.45
Jamtara,512,615.50,4020,1624.23,,,7,10.62,,,,,4539,2250.34
Khunti,1161,1049.41,562,452.77,9,0.49,22,19.82,1,0.08,3,1.26,1758,1523.83
Koderma,170,316.95,3388,2732.92,2,,26,242.89,,,9,45.10,3595,3337.85
Latehar,874,939.05,2118,1271.27,11,1.46,14,10.70,,,3,1.10,3020,2223.58
Lohardaga,444,534.86,2856,2204.15,,,5,6.13,1,,6,2.85,3312,2747.99
Pakur,769,740.27,11963,8932.12,2,2.70,28,128.17,2,0.10,3,0.70,12767,9804.06
Palamu,1326,2642.34,5139,3131.00,10,8.21,41,187.54,1,0.30,15,52.97,6532,6022.34
Ramgarh,303,637.56,3773,3586.99,23,15.25,275,523.37,,,18,287.02,4392,5050.18
Ranchi,9934,11255.74,123200,59882.61,312,265.41,406,1090.07,,,58,938.75,133910,73432.57
Sahibganj,1328,1495.14,8697,4554.01,5,4.20,10,1.40,1,,4,2.95,10045,6057.70
Seraikela-Kharsawan,653,1118.35,7174,3322.98,15,14.54,53,102.65,1,0.32,7,3.38,7903,4562.22
Simdega,2142,1557.90,549,590.07,3,1.00,2,0.10,,,3,10.21,2699,2159.28
West Singhbhum,1255,1732.34,1610,2021.70,44,11.83,84,169.01,3,0.50,8,4.41,3004,3939.79
