district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2023_24_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,3537,1648.97,1139,3015.48,4248,2119.22,3472,6863.18,21480,38465.01,603,347.48,8581,11262.54,81356,23077.00,
Chatra,3327,2009.81,377,851.74,3434,2031.25,1468,2190.65,14409,23045.97,571,325.73,2421,1334.23,6308,2770.19,
Deoghar,1599,511.10,955,1358.33,2561,1269.75,3417,4079.35,11044,14667.29,1294,1170.17,4306,1753.27,82420,4283.74,
Dhanbad,1941,1065.25,990,1985.85,2805,1348.63,2903,4282.80,15488,23899.27,832,433.25,8086,10546.64,408056,29292.94,
Dumka,3702,1601.01,860,1241.60,4490,1777.48,2882,3377.90,11756,18291.43,650,586.19,8371,6381.59,23852,13734.50,
East Singhbhum,1242,551.65,1335,4461.10,2104,661.05,2293,6408.54,24304,50554.03,918,639.05,14608,14653.65,238646,29219.82,
Garhwa,1622,778.62,703,1126.81,2134,861.13,1261,1730.82,11523,17658.76,219,110.78,10562,5978.31,30626,12431.05,
Giridih,3468,2554.71,893,2459.75,5264,3858.94,4264,7275.22,27944,46118.06,1277,842.99,23091,31560.79,54658,53446.91,
Godda,5496,2730.26,316,460.11,6215,3070.89,2910,3576.19,11204,18457.51,428,320.78,4770,2948.45,16447,7474.80,
Gumla,404,112.09,529,1647.93,970,516.96,1425,3317.54,12252,21607.07,1005,802.78,972,434.42,1468,574.96,
Hazaribagh,5470,2917.60,694,1820.31,5783,2977.63,2529,4351.98,24210,43348.07,657,339.11,8008,5953.38,118678,14288.03,
Jamtara,2808,1072.89,364,498.53,3105,1400.58,1683,1785.67,6780,9266.68,336,427.06,60,48.00,226,171.33,
Khunti,1809,963.94,271,632.46,2260,1126.15,884,1548.26,8019,15451.21,254,275.49,2671,1993.54,3065,2622.82,
Koderma,3156,1106.80,600,2086.62,3328,1126.60,1802,3803.06,10492,22148.75,346,271.06,5450,6855.45,117887,14750.52,
Latehar,2220,2191.04,272,471.69,2410,2320.02,1625,2415.11,9722,16379.20,331,196.39,3993,5697.59,8333,9920.38,
Lohardaga,116,25.72,334,1016.11,244,42.98,549,1504.51,8463,16088.06,632,759.20,1482,513.68,3047,1592.63,
Pakur,4485,3346.37,275,406.13,4974,3715.86,1662,1950.80,10218,18472.49,401,307.46,6178,11433.81,13090,19236.70,
Palamu,3661,2272.91,322,498.13,4033,2325.79,1600,2103.36,19042,28155.15,626,470.67,15793,9266.80,46579,19227.69,
Ramgarh,1644,662.16,353,1172.81,1894,878.12,777,1873.20,11109,21860.08,339,250.90,4251,2672.79,13054,6143.81,
Ranchi,1836,708.09,1173,5160.79,3186,1058.34,2879,10915.64,32977,72121.86,1366,1773.04,11090,14684.31,171834,30577.09,
Sahibganj,2788,1715.92,375,541.16,3231,1860.09,1872,2235.19,10076,15021.46,328,202.57,2776,1762.75,11322,4970.21,
Seraikela-Kharsawan,344,100.45,426,1166.39,536,134.72,844,1880.72,14420,27581.74,731,625.69,1985,2230.59,49460,5641.78,
Simdega,371,89.00,223,705.12,640,143.22,502,1171.04,8485,13480.96,390,287.80,981,382.40,2373,935.71,
West Singhbhum,516,149.72,645,1432.54,751,207.53,1097,2101.27,16803,39484.26,408,239.02,2297,1460.77,5234,2833.20,
