district,rural_deposit,advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,advances,cd_ratio
Bokaro,393849.33,113729.52,28.88,476078.35,141001.05,29.62,1392057.43,573576.61,41.20,2261985.12,828307.17,36.62
Chatra,181667.94,63660.40,35.04,243749.05,58549.23,24.02,853.80,4696.31,550.05,426270.79,126905.94,29.77
Deoghar,245234.39,89811.38,36.62,97794.02,37915.14,38.77,622675.76,223768.37,35.94,965704.17,351494.89,36.40
Dhanbad,486820.39,103282.20,21.22,408293.00,136039.41,33.32,3277863.33,1090680.63,33.27,4172976.71,1330002.24,31.87
Dumka,237472.60,82548.39,34.76,306758.43,108564.69,35.39,4555.11,2913.81,63.97,548786.15,194026.89,35.36
East Singhbhum,298223.09,118212.19,39.64,607953.87,168682.60,27.75,3096233.47,1716009.51,55.42,4002410.43,2002904.30,50.04
Garhwa,145668.68,67755.70,46.51,181655.29,80823.00,44.49,,1619.53,,327323.97,150198.24,45.89
Giridih,578890.68,167549.99,28.94,45750.23,10244.33,22.39,357109.12,223445.84,62.57,981750.03,401240.16,40.87
Godda,248210.64,90097.62,36.30,250420.67,83521.15,33.35,,2097.49,,498631.30,175716.26,35.24
Gumla,148021.94,43934.02,29.68,220793.97,68205.65,30.89,2399.04,2841.88,118.46,371214.95,114981.54,30.97
Hazaribagh,388909.31,136536.75,35.11,145606.72,84448.89,58.00,715772.21,325892.31,45.53,1250288.24,546877.95,43.74
Jamtara,125453.09,40894.53,32.60,169111.52,45644.86,26.99,,1470.02,,294564.61,88009.41,29.88
Khunti,100279.86,41292.75,41.18,119030.63,46729.96,39.26,2689.35,2402.11,89.32,221999.83,90424.82,40.73
Koderma,153212.20,49355.71,32.21,281397.05,118076.36,41.96,1370.35,7003.20,511.05,435979.61,174435.27,40.01
Latehar,105867.99,44236.92,41.78,134773.41,54426.40,40.38,,1976.40,,240641.40,100639.72,41.82
Lohardaga,61357.29,31764.32,51.77,137424.20,56517.95,41.13,1181.08,2066.47,174.96,199962.57,90348.74,45.18
Pakur,94761.10,46918.38,49.51,146817.27,72458.97,49.35,,1908.58,,241578.37,121285.94,50.21
Palamu,261404.00,122332.12,46.80,520372.05,185258.61,35.60,,6851.17,,781776.04,314441.91,40.22
Ramgarh,225536.16,76842.04,34.07,675450.84,271737.37,40.23,925.05,16461.86,1779.56,901912.05,365041.27,40.47
Ranchi,602697.89,444611.04,73.77,311592.04,118022.43,37.88,7494054.57,3076418.58,41.05,8408344.50,3639052.05,43.28
Sahibganj,119561.03,46928.76,39.25,243520.99,85092.73,34.94,,2189.00,,363082.01,134210.48,36.96
Seraikela-Kharsawan,302138.85,149221.31,49.39,85769.48,34698.24,40.46,262262.70,213247.44,81.31,650171.03,397166.99,61.09
Simdega,92750.39,23175.91,24.99,103133.50,32176.87,31.20,,1251.59,,195883.89,56604.37,28.90
West Singhbhum,206392.31,79273.12,38.41,3074598.64,215797.31,7.02,98338.67,41487.58,42.19,3379329.62,336558.01,9.96
