district,as_on_30th_september_2023_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances,col_17
Bokaro,,,3136,11027.74,3471,32523.41,1,2.00,1,,37389,11162.48,177118,385030.94,46.48,
Chatra,,,253,847.87,166,1337.32,1,0.47,,,3694,1177.66,87396,78017.69,61.48,
Deoghar,,,1097,3919.42,1903,12359.23,9,19.63,11,11.79,23632,5440.67,166383,199490.59,56.75,
Dhanbad,1,243.00,5217,16843.77,10645,85640.57,4,17.48,,,81663,21707.39,262061,613076.09,46.10,
Dumka,,,265,877.13,748,6043.47,23,10.29,38,38.56,14961,5324.89,127308,114119.88,58.82,
East Singhbhum,,,7615,34132.47,10147,76884.53,7,108.40,,,75398,22026.47,286904,933465.68,46.61,
Garhwa,,,279,897.31,277,2330.55,8,47.37,26,7.93,10912,3459.46,119058,100369.99,66.83,
Giridih,25,6447.00,1074,3192.47,954,7657.76,9,82.86,,,34395,10328.97,201090,236933.94,59.05,
Godda,,,448,1345.03,1107,10148.50,4,1.02,41,4.60,11243,3511.83,112236,103674.10,59.00,
Gumla,,,551,1046.26,299,2483.64,1,0.19,,,4242,1412.99,77222,68269.25,59.37,
Hazaribagh,,,1386,4930.07,2344,19419.50,21,6.51,,,22244,8215.43,198768,305552.49,55.87,
Jamtara,,,311,650.78,356,2500.85,,,16,3.16,695,206.51,64876,50321.77,57.18,
Khunti,,,173,541.17,226,2152.02,4,7.12,,,2479,786.11,44366,42389.40,46.88,
Koderma,,,540,1816.38,648,4036.92,2,4.58,,,12748,3553.70,91947,106781.42,61.22,
Latehar,,,153,476.98,188,1975.63,1,0.09,3,0.65,6299,1737.02,49826,50004.57,49.69,
Lohardaga,,,217,774.69,268,2172.16,,,,,5652,1577.68,53808,53856.10,59.61,
Pakur,,,155,348.56,395,3426.03,4,1.96,,,18511,5318.17,78785,76384.93,62.98,
Palamu,,,782,2518.77,722,6240.40,11,23.40,3,2.42,25988,9167.91,187434,176780.27,56.22,
Ramgarh,,,1097,3629.49,960,9289.40,5,10.76,1,5.92,15934,5239.58,90741,159883.21,43.80,
Ranchi,2,3958.00,11707,51174.98,12894,149585.75,1116,125.65,2,7.07,58893,23889.23,1320347,1557108.81,42.79,
Sahibganj,,,633,1381.60,462,4088.25,6,0.71,41,47.64,18139,5423.08,94462,78451.49,58.45,
Seraikela-Kharsawan,,,1831,5445.22,1413,10253.97,,,,,16953,4803.31,208371,259239.50,65.27,
Simdega,,,135,342.07,127,1120.88,,,,,3608,938.89,40398,34204.54,60.43,
West Singhbhum,,,1569,6477.08,924,8649.55,3,0.76,,,17509,5091.61,124036,145512.81,43.24,
