district,female_general_a_cs,sanc_amt_in_lakhs,minority_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_general_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs
Bokaro,184,3529,5,82,48,581,14,205,251,4397,0,0,33,626,33,626,284,5023
Chatra,24,264,1,20,19,206,0,0,44,489,0,0,4,122,4,122,48,611
Deoghar,114,2398,0,0,25,467,9,129,148,2994,0,0,9,149,9,149,157,3144
Dhanbad,274,6047,10,166,49,785,24,432,357,7429,0,0,34,696,34,696,391,8126
Dumka,40,796,1,56,13,354,6,179,60,1385,0,0,12,305,12,305,72,1690
Garhwa,11,164,0,0,6,63,1,20,18,247,0,0,4,12,4,12,22,258
Giridih,75,1536,3,64,41,754,6,91,125,2444,0,0,10,127,10,127,135,2571
Godda,46,923,2,29,16,256,2,70,66,1278,0,0,9,139,9,139,75,1417
Gumla,15,244,0,0,12,196,3,62,30,501,0,0,7,136,7,136,37,638
Hazaribagh,133,2183,7,144,66,1053,10,176,216,3556,0,0,22,356,22,356,238,3913
Jamtara,25,821,0,0,5,53,0,0,30,874,0,0,1,25,1,25,31,899
Khunti,17,278,0,0,1,15,0,0,18,292,0,0,3,40,3,40,21,332
Koderma,37,519,0,0,16,208,3,79,56,806,0,0,14,190,14,190,70,995
Latehar,29,478,0,0,19,321,5,56,53,855,0,0,6,79,6,79,59,933
Lohardaga,14,212,0,0,7,110,1,10,22,331,0,0,12,157,12,157,34,488
Pakur,18,482,1,15,3,93,1,31,23,621,0,0,3,82,3,82,26,703
Palamu,43,655,1,45,30,101,3,20,77,821,0,0,16,214,16,214,93,1035
Ramgarh,75,721,1,10,22,311,7,72,105,1114,0,0,10,126,10,126,115,1241
Ranchi,555,12626,14,272,91,1954,47,920,707,15772,1,71,105,2082,106,2153,813,17925
Sahibganj,16,335,1,10,12,163,2,58,31,565,0,0,3,35,3,35,34,600
Seraikela-Kharsawan,87,1573,0,0,10,166,3,47,100,1786,0,0,9,117,9,117,109,1904
Simdega,7,92,0,0,5,64,3,49,15,204,0,0,5,69,5,69,20,273
West Singhbhum,175,4329,1,11,23,411,16,246,215,4997,0,0,34,620,34,620,249,5617
