district,CropProduction,WaterResources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total,Total Achievement
Baksa,1959.58,44.47,228.71,14.45,662.95,55.62,191,10.07,1758.93,4925.78,1459.5,1541.01,3000.51,8.82,48.61,162.53,75.15,3.4,298.51,8224.8
Barpeta,3800.07,543.35,510.35,58.06,5407.84,1725.44,6570.03,141.13,1727.87,20484.14,14250.18,3066.17,17316.35,34.79,157.59,784.75,1355.46,15.07,2347.66,40148.149999999994
Biswanath,2552,57.22,58.98,71.78,668.18,56.02,267.3,72.95,274.13,4078.56,1318.06,544.49,1862.55,21.14,52.54,165.11,69.7,12.14,320.63,6261.74
Bongaigaon,1795.07,351.82,254.65,7,936.76,418.16,1883.23,87.69,741.59,6475.97,10747.42,2159.31,12906.73,11,134.09,465.54,148.48,468.74,1227.85,20610.55
Cachar,3064.92,377.69,839.23,18.65,3407.86,1648.32,7151.05,693.79,1612.87,18814.38,28600.39,2518.37,31118.76,35.9,475.31,688.77,334.9,2.95,1537.83,51470.97
Charaideo,549.69,658.97,559.5,37.64,1043.89,228.35,2154.59,99.99,1434.59,6767.21,2278.95,473.82,2752.77,12.93,61.78,83.13,259.3,218.38,635.52,10155.5
Chirang,1111.29,995.82,172.56,5.04,268.24,62.2,409.86,67.15,841.86,3934.02,3188.63,236.4,3425.03,7.96,45.82,96.43,150.45,0,300.66,7659.71
Darrang,2663.72,176.27,291.46,13.31,2725.08,195.69,2372.95,137.58,1021.35,9597.41,7780.79,1389.56,9170.35,21.59,210.85,396.32,142.14,252.45,1023.35,19791.11
Dhemaji,2326.09,103.15,157.71,8.34,1340.44,126.45,802.42,89.17,515.1,5468.87,4727.74,939.63,5667.37,4.73,110.75,447.17,234.34,50.28,847.27,11983.51
Dhubri,3322.16,3097.87,1113.07,3.85,3441.71,249.64,9286.2,249.43,1303.4,22067.33,13129.52,1234.82,14364.34,32.07,102.3,291.56,701.21,5.57,1132.71,37564.38
