district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Baksa,26854,343587,1904,6804,4234,15999,919,5777
Barpeta,66541,986926,2845,43244,13887,150718,3469,17401
Biswanath,10376,219415,1242,11014,2597,30630,609,8803
Bongaigaon,27617,317299,960,23624,4390,99598,1327,6444
Cachar,45291,784474,4026,53658,12400,153930,2028,19600
Charaideo,5609,161255,610,6060,3326,16843,179,3419
Chirang,17782,254241,2151,7048,4801,16384,348,3947
Darrang,34006,533409,3257,35406,8336,93649,1338,8908
Dhemaji,36691,592657,2912,29716,14879,77579,1592,8911
Dhubri,93206,1079187,2368,32635,20415,129468,2009,10088
Dibrugarh,18238,499137,9910,69266,18346,137166,4242,23223
Dima Hasao,2438,41744,181,18780,306,52762,168,4590
Goalpara,28947,476035,1941,35354,9455,75174,2159,10454
Golaghat,25855,569623,4834,45343,11664,109714,1272,12676
Hailakandi,25908,400727,2989,34779,10561,82899,812,6682
Hojai,22758,293115,778,8684,7068,35674,635,5058
Jorhat,45967,440721,1359,39847,8285,130785,2383,15944
Kamrup,43012,655802,2829,87336,17302,209184,5223,44168
Kamrup Metro,7996,245092,4819,50531,6410,113355,1815,19578
Karbi Anglong,10969,159190,540,45134,1259,105388,1473,19189
Karimganj,37847,609749,1361,33845,8076,82214,934,8564
Kokrajhar,20152,422065,1393,26330,2641,62839,796,4663
Lakhimpur,35633,647614,3279,28899,18123,108077,1987,12735
Majuli,1223,87341,51,1282,988,9568,19,1016
Morigaon,28909,615643,1508,37301,7336,100942,933,8905
Nagaon,94377,1566764,4604,57306,12257,220034,3853,24112
Nalbari,23890,354993,1625,33087,4563,91055,1593,10814
Sivasagar,16858,363780,3389,51913,8862,105059,1106,11734
Sonitpur,28038,546065,4158,43667,10450,120606,2393,16357
South Salmara,5847,53468,156,203,9,1003,25,152
Tinsukia,28363,567001,6287,43356,15307,116629,2313,15834
Udalguri,27201,452442,1648,7412,4624,14736,920,4532
West Karbi Anglong,1071,39987,31,6843,174,15698,270,6600
