District,Deposit Amount (D),Advance Amount (A),Overall CD Ratio
Baksa,123094.97,47440.66,38.54
Barpeta,403788.3,255248.75,63.21
Bongaigaon,283451.1,144531.9,50.99
Cachar,813301.44,327518.51,40.27
Darrang,205426.08,120086.44,58.46
Dhemaji,128952.26,82788.97,64.2
Dhubri,276976.38,151505.85,54.7
Dibrugarh,948514.25,422908.48,44.59
Goalpara,195100.36,90836.64,46.56
Golaghat,315438.66,221066.44,70.08
Hailakandi,152238.68,55160.23,36.23
Jorhat,607387.07,349650.01,57.57
Kamrup Metro,581265.37,380538.55,65.47
Karbi Anglong,169884.21,85816.6,50.51
Karimganj,339844.02,114313.99,33.64
Kokrajhar,258387.83,78079.68,30.22
Lakhimpur,255789.64,186781.75,73.02
Sonitpur,502345.96,298300.06,59.38
Tinsukia,609394.64,311133.87,51.06
Udalguri,110558.46,75925.1,68.67
Morigaon,173949.58,131451.05,75.57
Nagaon,520168.85,347647.68,66.83
Sivasagar,418581.97,229779.05,54.89
Nalbari,248131.17,140267.26,56.53
Chirang,113148.45,48899.61,43.22
Dima Hasao,81710.08,25391.2,31.07
Hojai,203984.79,78914.8,38.69
Charaideo,87210.91,40882.67,46.88
West Karbi Anglong,37773.22,26683.85,70.64
South Salmara,22582.97,9905.74,43.86
Biswanath,144351.1,75320.42,52.18
Majuli,30847.28,16414.7,53.21
