district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Baksa,350,580.31,7401,4458.79,21,17.3,318,170.26,0,0,2,0.5,0,0,2,0.64,0,0,0,0,0,0,17,14.59,371,597.61,7740,4644.78
Barpeta,22821,18838.68,106452,73550.5,23,34.01,207,270.66,1,0.37,10,22.41,1,10.02,16,16.88,1,1,3,3.71,3,4,31,74.01,22850,18888.08,106719,73938.17
Biswanath,713,512.44,7981,4663.5,41,78.13,862,391.6,0,0,4,15.8,0,0,0,0,0,0,5,3.4,1,0.35,10,70.46,755,590.92,8862,5144.76
Bongaigaon,7949,7736.01,33315,27310.11,789,572.88,2213,1005.3,2,4.48,20,45.81,19,15.19,72,45.77,1,0.01,1,0.9,3,42,15,72.27,8763,8370.57,35636,28480.16
Cachar,17494,18252.08,97030,73046.29,693,900.86,2690,2929.89,3,29.84,18,95.86,7,17.46,25,33.81,2,0.35,3,0.69,3,8.39,40,375.33,18202,19208.98,99806,76481.87
Charaideo,496,518.85,2776,1930.96,48,42.38,183,86.22,1,0.55,4,1.43,6,4.55,47,48,0,0,2,7.04,0,0,11,30.13,551,566.33,3023,2103.78
Chirang,1940,1930.92,8502,6455.84,48,54.21,2657,1776.35,0,0,3,3.64,1,0.52,16,8.38,0,0,4,4.17,0,0,3,8,1989,1985.65,11185,8256.38
Darrang,11750,9385.4,61406,39261.88,79,140.73,289,374.49,0,0,7,14.56,2,2.07,25,27.92,0,0,1,0.59,8,14.1,24,43.25,11839,9542.3,61752,39722.69
Dhemaji,209,198.58,2353,2099.84,20,56.11,272,263.42,0,0,88,413.26,0,0,74,150.14,0,0,3,6.15,5,29.26,528,1565.5,234,283.95,3318,4498.31
Dhubri,22291,21717.53,97224,69663.01,409,240.67,1329,835.73,4,44.35,9,29.74,7,6.03,20,17.24,0,0,2,1.05,7,14.57,40,161.05,22718,22023.15,98624,70707.82
Dibrugarh,3324,3659.88,17229,19583.6,419,532.17,2882,2353.52,47,122.24,399,1916.2,39,85.85,291,271.39,0,0,31,19.71,24,124.65,1233,8746.12,3853,4524.79,22065,32890.54
Dima Hasao,58,169.22,394,640.39,354,900.22,1415,3567.28,5,8,21,50.35,0,0,3,9.16,0,0,0,0,0,0,0,0,417,1077.44,1833,4267.18
Goalpara,5767,5380.49,36554,26795.9,899,635.35,4749,3064.92,1,15,10,4.37,3,1.86,19,9.07,0,0,14,5.62,1,6.5,20,41.07,6671,6039.2,41366,29920.95
Golaghat,4049,3489.35,18623,12038.11,413,377.25,3092,1646.96,24,46.71,139,537,49,33.52,257,228.84,0,0,14,19.94,2,0.47,91,1712.64,4537,3947.3,22216,16183.49
Hailakandi,4348,4735.75,31641,24540.32,30,74.67,222,274.82,0,0,0,0,1,1,3,2.43,0,0,0,0,0,0,17,52.29,4379,4811.42,31883,24869.86
Hojai,974,1857.42,23008,18720.86,13,48.42,237,213.84,4,13.78,33,54.55,0,0,1,2.49,0,0,0,0,0,0,14,47.3,991,1919.62,23293,19039.04
Jorhat,4384,3965.94,16611,12179.5,401,424.46,1620,1506.1,29,128.68,163,494.19,39,42.65,174,487.93,1,0.02,21,22.58,19,186.81,331,2329.09,4873,4748.56,18920,17019.39
Kamrup Metro,23360,16257.03,106678,62677.24,311,205.37,1868,894.36,12,75.21,80,303.5,24,18.77,75,56.16,0,0,2,0.32,13,3224.79,35,2152.61,23720,19781.17,108738,66084.19
