district,No. of A/C,Total O/S,Demand Raised,Recovery Amount,%,Overdues Amount,Overdues %,Gross NPA Amount,Gross NPA %
Baksa,54193,34983.69,12892.13,4926.81,38,7965.32,62,9233.76,26
Barpeta,226466,167625.2,40800.06,14779.67,36,26020.39,64,23394.83,14
Biswanath,64213,51295.24,13577.05,5920.06,44,7656.99,56,6842.47,13
Bongaigaon,86081,83235.57,9801.16,4184.12,43,5617.04,57,6376.69,8
Cachar,231550,223014.23,27593.87,11727.95,43,15865.92,57,16831.14,8
Charaideo,40782,28290.23,5696.47,2652.65,47,3043.82,53,3140.13,11
Chirang,38804,31357.41,8089.8,2950.02,36,5139.78,64,4989.61,16
Darrang,116963,85082.73,22006.53,9039.22,41,12967.31,59,13662.34,16
Dhemaji,78766,59332.86,14244.45,6712.23,47,7532.22,53,6969.89,12
Dhubri,169982,114874.87,20233.16,6762.02,33,13471.14,67,12779.42,11
Dibrugarh,251975,276541.63,43622.24,16619.04,38,27003.2,62,23329.9,8
Dima Hasao,6066,7871.86,1615.79,1024.28,63,591.51,37,451,6
Goalpara,87838,56634.44,15992.64,5679.77,36,10312.87,64,12408.97,22
Golaghat,226917,158680.62,33307.85,13620.26,41,19687.59,59,10921.41,7
Hailakandi,49458,39982.65,7703.18,3107.07,40,4596.11,60,5065.87,13
Hojai,53229,53872.91,9311.19,3609.39,39,5701.8,61,5530.54,10
Jorhat,240533,234424.25,32709.2,14587.1,45,18122.1,55,13513.69,6
Kamrup,391416,255496.73,60499.18,25706.61,42,34792.57,58,23354.99,9
Kamrup Metro,224163,1109511.22,128487.96,46641.39,36,81846.57,64,138698.23,13
Karbi Anglong,47479,37214.62,15023.39,9335.5,62,5687.89,38,2500.92,7
Karimganj,125858,84970.09,11250.88,5479.98,49,5770.9,51,7650.39,9
Kokrajhar,33782,35237.93,12700.1,4673.29,37,8026.81,63,8642.11,25
Lakhimpur,178598,131470.31,28576.68,11409.93,40,17166.75,60,12583.69,10
Majuli,14471,11508.01,2340.31,956.2,41,1384.11,59,1249.71,11
Morigaon,153208,100769.08,15728.59,6122.96,39,9605.63,61,10462.38,10
Nagaon,337262,244296.04,47484.21,15920.82,34,31563.39,66,31385.52,13
Nalbari,134077,87342.53,28282.6,11801.49,42,16481.11,58,14967.84,17
Sivasagar,168482,138737.25,20573.66,9291.74,45,11281.92,55,10564.83,8
Sonitpur,239636,192486.64,28336.51,10851.83,38,17484.68,62,18345.51,10
South Salmara,15549,7863.89,2554.03,640.65,25,1913.38,75,2219.03,28
Tinsukia,164895,217625.39,27360.44,9709.53,35,17650.91,65,15085.61,7
Udalguri,65631,55603.03,22608.71,6751.51,30,15857.2,70,13966.78,25
West Karbi Anglong,18962,12956.27,7233.71,3678.38,51,3555.33,49,788,6
