district,Target,Disbursement No,Disbursement Amount,O/S No,O/S Amount
Baksa,356,57,52.18,1068,1374.15
Barpeta,141,29,39.85,1346,1801.09
Biswanath,10,2,182.91,499,887.09
Bongaigaon,60,12,16.28,913,1238.59
Cachar,80,20,22.3,976,1279.29
Charaideo,67,13,18.23,458,677.63
Chirang,20,8,9.49,1311,1804.12
Darrang,107,16,10.51,1216,1841.1
Dhemaji,174,36,65.5,905,1662.35
Dhubri,376,90,75.88,3711,4409.48
Dibrugarh,168,34,59.21,1392,1914.16
Dima Hasao,40,10,8.07,187,231.06
Goalpara,154,28,28.15,950,1241.67
Golaghat,80,17,18.57,1137,1588.93
Hailakandi,67,20,15.35,664,880.11
Hojai,80,13,23.64,603,615.05
Jorhat,47,14,24.74,865,1133.58
Kamrup Metro,262,48,70.51,1612,2018.74
Karbi Anglong,20,6,4.37,264,328.24
Karimganj,94,23,16.1,605,738
Kokrajhar,80,30,23.19,1944,2257.3
Lakhimpur,67,17,25.71,1191,1579.59
Majuli,60,14,26.76,237,277.08
Morigaon,174,30,47.85,824,1252.61
Nagaon,134,35,68.39,2413,2507.46
Nalbari,240,50,75.53,1178,1733.13
Sivasagar,208,39,68.19,939,1422.5
Sonitpur,275,35,67.23,1201,1599.27
South Salmara,168,53,26.83,505,704.45
Tinsukia,107,17,16.16,594,888.58
Udalguri,134,60,28.27,1445,1485.23
West Karbi Anglong,10,0,0,52,53.94
