District,Target,Disbursement No.,Disbursement Amt,O/S No.,O/S Amt
Baksa,760,118,131.15,739,552.38
Barpeta,1267,151,190.76,1519,1159.92
Biswanath,2563,259,308.1,1856,1126.01
Bongaigaon,1859,165,293.79,1004,1109.72
Cachar,1127,97,139.2,1859,1038.84
Charaideo,2169,203,235.01,480,412.63
Chirang,2620,197,256.47,973,855.5
Darrang,676,101,168.32,1159,690.94
Dhemaji,2704,217,218.48,1588,874.49
Dhubri,1380,69,73.7,1270,746.79
Dibrugarh,3127,255,303.26,929,684.33
Dima Hasao,5,10,7.6,265,271.36
Goalpara,704,119,120.8,1700,1233.95
Golaghat,3916,418,924.5,1359,1194.35
Hailakandi,788,115,120.56,1192,724.55
Hojai,1042,162,189.68,1333,893.22
Jorhat,3155,449,834.95,1683,1429.69
Kamrup Metro,4395,447,585.68,1359,1044.61
Karbi Anglong,5,38,28.72,1705,1018.31
Karimganj,1070,66,40.47,1476,747.65
Kokrajhar,253,32,36.03,934,977.2
Lakhimpur,3690,325,398.9,1823,1175.09
Majuli,366,80,101.6,494,447.12
Morigaon,2958,247,289.24,1912,1255.43
Nagaon,7522,443,697.14,1995,1292.97
Nalbari,3381,300,545.77,939,768.39
Sivasagar,2535,250,313.42,1175,1132.99
Sonitpur,2028,277,364.21,1845,1169.22
South Salmara,28,5,5.1,164,201.94
Tinsukia,2930,290,449.18,665,549.79
Udalguri,704,70,84.21,848,577.29
West Karbi Anglong,6,3,3,683,444.46
