district,No. of A/C,Total O/S,Demand Raised,Recovery Amount,%,Overdues Amount,Overdues %,Gross NPA Amt,Gross NPA %
Baksa,32606,17264.9,6680.04,2668.17,40,4011.87,60,4241.82,25
Barpeta,133912,69368.14,23368.48,8021.18,34,15347.3,66,11397.58,16
Biswanath,41914,23859.88,9058.43,3667.25,40,5391.18,60,3992.05,17
Bongaigaon,37337,21987.23,4352.39,1572.55,36,2779.84,64,2595.06,12
Cachar,110633,67092.34,12945.3,3442,27,9503.3,73,6435.58,10
Charaideo,24655,13081.17,3082.38,1408.55,46,1673.83,54,1202.75,9
Chirang,20600,11356.72,4193.23,1500.98,36,2692.25,64,2100.61,18
Darrang,67008,36626.25,12805.37,4318.88,34,8486.49,66,6793.2,19
Dhemaji,43063,23313.42,8695,3538.02,41,5156.98,59,4016.1,17
Dhubri,93764,54573.07,11467.1,3307.71,29,8159.39,71,6148.07,11
Dibrugarh,146081,85352.41,25008.66,7321.93,29,17686.73,71,9916.81,12
Dima Hasao,4109,1763.75,579.23,233.98,40,345.25,60,180.12,10
Goalpara,45347,24522.25,8018.31,2936.64,37,5081.67,63,5985.91,24
Golaghat,160979,81824.71,23629.75,7866.72,33,15763.03,67,5575.77,7
Hailakandi,29111,15024.1,4528.89,1305.77,29,3223.12,71,2711.95,18
Hojai,32585,20600.61,5738.27,1779.14,31,3959.13,69,2708.17,13
Jorhat,152643,82317.59,18248.89,6674.13,37,11574.76,63,5485.5,7
Kamrup Metro,163567,102528.45,27604.82,9317.85,34,18286.97,66,11726.81,11
Karbi Anglong,36038,14742.98,5611.83,2068.49,37,3543.34,63,1541.62,10
Karimganj,59802,29635.13,4561.63,1674.88,37,2886.75,63,3230.36,11
Kokrajhar,22616,13397.55,6087.38,2367.68,39,3719.7,61,3723.11,28
Lakhimpur,109196,58470.54,18547.51,6502.72,35,12044.79,65,6190.89,11
Majuli,8742,5341.21,1402.35,529.08,38,873.27,62,529.51,10
Morigaon,113788,62589.4,10266.02,3866.37,38,6399.65,62,4945.63,8
Nagaon,221535,108659.46,31992.99,8140.79,25,23852.2,75,14487.46,13
Nalbari,71776,31356.91,13159.44,5395.61,41,7763.83,59,5513.86,18
Sivasagar,107110,49043.29,11067.2,3759.64,34,7307.56,66,4387.48,9
Sonitpur,125409,65269.79,14036.62,4467.26,32,9569.36,68,8273.39,13
South Salmara,2483,1947.23,584.2,175.61,30,408.59,70,473.79,24
Tinsukia,97263,73213.05,16358.36,4396.28,27,11962.08,73,5680.37,8
Udalguri,45248,29932.8,16199.22,4242.17,26,11957.05,74,8469.02,28
West Karbi Anglong,17094,7255.26,4342.09,1364.59,31,2977.5,69,655.51,9
