District,Urban Number,Urban Amt,Semi Urban Number,Semi Urban Amt,Rural Number,Rural Amt,Total Number,Total Amt
Baksa,0,0,41,168,980,6716.48,1021,6884.48
Barpeta,30,46.2,1899,19071.28,1533,13295.74,3462,32413.22
Biswanath,20,14.11,898,8878.72,628,5246.16,1546,14138.99
Bongaigaon,9,6.24,1845,17911.62,271,2228.2,2125,20146.06
Cachar,2762,21637.53,276,3210.46,600,5281.28,3638,30129.27
Charaideo,0,0,340,2524.68,126,1081.31,466,3605.99
Chirang,0,0,89,872.13,468,4868.03,557,5740.16
Darrang,34,90.12,1261,11179.93,392,2560.02,1687,13830.07
Dhemaji,16,8.64,1074,9575.85,555,4743.69,1645,14328.18
Dhubri,0,0,1497,11034.54,531,4065.26,2028,15099.8
Dibrugarh,3202,33372.71,1084,10953.11,1400,13268.47,5686,57594.29
Dima Hasao,40,22.59,171,2055.9,53,610.21,264,2688.7
Goalpara,15,3.25,651,5815.98,363,2588.67,1029,8407.9
Golaghat,21,29.64,1772,16302.87,775,6974.83,2568,23307.34
Hailakandi,0,0,1158,8831.06,72,453.58,1230,9284.64
Hojai,12,17.15,866,8496.59,122,989.96,1000,9503.7
Jorhat,725,6717.91,2924,30775.63,960,8378.23,4609,45871.77
Kamrup Metro,114,165.24,1109,8690.75,2243,20034.51,3466,28890.5
Karbi Anglong,0,0,604,7389.52,510,6505.84,1114,13895.36
Karimganj,8,4.69,886,6533.3,294,2194.44,1188,8732.43
Kokrajhar,0,0,897,7666.25,264,2734.94,1161,10401.19
Lakhimpur,16,17.36,1980,18034.2,1066,8944.4,3062,26995.96
Majuli,0,0,185,1539.03,109,941.39,294,2480.42
Morigaon,12,17.82,1115,5250.13,563,4242.21,1690,9510.16
Nagaon,2138,19099.43,839,8102.85,1433,12505.71,4410,39707.99
Nalbari,40,77.95,1759,14815.77,1237,6512,3036,21405.72
Sivasagar,35,66.67,2200,19258.82,669,5813.71,2904,25139.2
Sonitpur,78,292.36,2880,26502.13,1183,9171.93,4141,35966.42
South Salmara,0,0,76,765.37,106,882.44,182,1647.81
Tinsukia,1879,20289.75,724,7349.79,756,7528.61,3359,35168.15
Udalguri,17,21.49,1101,10964.06,261,2095.61,1379,13081.16
West Karbi Anglong,0,0,0,0,411,4865.5,411,4865.5
