District,CY.Sishu No.,CY.Sishu AMT,Sishu O/S No.,Sishu O/S Amt,CY.Kishore No.,CY.Kishore AMT,Kishore O/S No.,Kishore O/S Amt,CY.Tarun No.,CY.Tarun AMT,Tarun O/S No.,Tarun O/S Amt,TOTAL Sanctioned A/C,TOTAL Sanctioned AMT,TOTAL O/S A/C,TOTAL O/S AMT
Baksa,44,13.66,4187,1548.95,59,68.24,2805,4664.41,14,91.83,105,661.21,117,173.73,7097,6874.57
Barpeta,2715,908.69,37273,11201.71,942,1397.02,20418,17986.46,124,879.59,573,3682.64,3781,3185.3,58264,32870.81
Biswanath,38,17.41,4640,1633.49,61,85.35,1909,2944.01,7,45.85,103,652.38,106,148.61,6652,5229.88
Bongaigaon,327,178.42,15623,4029.96,222,394.8,7969,6510.72,74,504.06,300,1826.64,623,1077.28,23892,12367.32
Cachar,2653,743.56,29873,8695.63,1122,1479.38,18483,15531.46,87,582.92,525,3626.46,3862,2805.86,48881,27853.55
Charaideo,78,26.8,2245,791.96,57,86.91,1258,1849.65,3,16.35,66,475.26,138,130.06,3569,3116.87
Chirang,58,33.91,4387,1294.98,83,133.84,3683,3989.59,10,82.08,90,598.29,151,249.83,8160,5882.86
Darrang,255,126.63,16107,4884.57,289,531.43,9817,9474.2,34,261.43,388,2390.58,578,919.49,26312,16749.35
Dhemaji,187,80.37,8810,2694.76,202,277.89,4109,5424.59,23,168.35,249,1666.2,412,526.61,13168,9785.55
Dhubri,346,127.36,24898,7083.62,408,577.17,16986,12230.58,52,362.33,255,1604.92,806,1066.86,42139,20919.12
Dibrugarh,2766,1019.03,33047,8845.41,889,1450.47,16176,14723.92,296,2241.52,1372,9354.71,3951,4711.02,50595,32924.04
Dima Hasao,80,15.5,5035,1608.33,93,209.27,3086,2131.85,10,80.23,37,260.51,183,305,8158,4000.69
Goalpara,1300,354.74,8899,2666.07,241,431.2,6256,7552.6,29,227.4,349,2469.61,1570,1013.34,15504,12688.28
Golaghat,4041,1214.54,29250,7580.25,555,664.31,14738,11023.88,67,524.49,353,2407.87,4663,2403.34,44341,21012
Hailakandi,168,64.62,6272,2031.49,199,274.25,5184,4775.91,15,106.5,116,773.37,382,445.37,11572,7580.77
Hojai,227,93.52,2420,862.82,192,357.69,2521,4445.79,23,170.15,296,2111.75,442,621.36,5237,7420.36
Jorhat,6630,2288.7,46684,11284.62,941,1300.15,17097,14006.63,111,856.19,657,5040.17,7682,4445.04,64438,30331.42
Kamrup Metro,22729,7525.86,108323,25334.99,3336,3030.38,26624,23235.57,164,1015.47,878,5639.09,26229,11571.71,135825,54209.65
Karbi Anglong,950,266.77,2344,1163.89,166,356.23,645,1721.17,31,255.3,101,808.72,1147,878.3,3090,3693.78
Karimganj,1839,539.28,18979,5298.29,371,597.36,12555,9652.38,47,370.72,249,1765.47,2257,1507.36,31783,16716.14
Kokrajhar,90,29.2,3399,1415.33,71,114.04,2698,4192.08,9,66.93,145,879.28,170,210.17,6242,6486.69
Lakhimpur,414,203.34,15263,4635.22,439,606.23,9754,10153.97,50,392.03,423,2645.28,903,1201.6,25440,17434.47
Majuli,11,3.62,459,192.56,29,70.88,552,868.37,3,19.55,40,220.8,43,94.05,1051,1281.73
Morigaon,334,130.65,20462,5960.05,437,698.16,16861,12218.55,54,387.06,322,1978.25,825,1215.87,37645,20156.85
Nagaon,7583,2239.93,59817,15122.42,1089,1515.77,33522,27762.47,157,1144.27,995,6721.6,8829,4899.97,94334,49606.49
Nalbari,5189,1853.7,28270,7745.27,579,736.28,10734,10486.08,48,351.36,293,2024.14,5816,2941.34,39297,20255.49
Sivasagar,696,305.68,21231,6022.81,798,999.77,11888,9456.82,97,727.45,543,3653.43,1591,2032.9,33662,19133.06
Sonitpur,6289,1890.37,45987,11981.01,1142,1751.19,20928,17562.55,156,1093.21,714,4768.96,7587,4734.77,67629,34312.52
South Salmara,2,0.51,146,61.21,2,3.95,642,1292.41,1,5.25,10,72.24,5,9.71,798,1425.86
Tinsukia,590,341.07,21309,5889.82,838,1514.43,11488,12670.63,200,1394.62,856,5623.48,1628,3250.12,33653,24183.93
Udalguri,93,33.06,5122,2145.93,314,413.2,2766,4712.13,15,116.67,61,414.01,422,562.93,7949,7272.07
West Karbi Anglong,1,0.5,320,178.31,6,18.23,104,212.1,1,5.25,12,92.28,8,23.98,436,482.69
