district,Crop Loan Achievement,Insurance Number (PMFBY),Insurance Amount (PMFBY),Insurance Number (Others),Insurance Amount (Others)
Baksa,2779.0734849580485,0,0,0,0
Barpeta,4981.835490613486,3,1.63,0,0
Biswanath,2384.592347653189,0,0,0,0
Bongaigaon,1361.2366878299042,19,13.74,0,0
Cachar,2261.5171849647727,0,0,0,0
Charaideo,2844.9359670779477,2,1.09,0,0
Chirang,2211.256819295061,3,1.13,0,0
Darrang,1410.751635447833,3,1.63,0,0
Dhemaji,1793.80056916644,0,0,0,0
Dhubri,4181.691945227024,31,14.1,0,0
Dibrugarh,2884.1331479989226,0,0,0,0
Dima Hasao,64.34950488608183,0,0,0,0
Goalpara,4452.942931931711,14,6.85,0,0
Golaghat,3662.3569744369197,0,0,0,0
Hailakandi,790.32764430853,0,0,0,0
Hojai,1568.1234088950084,0,0,0,0
Jorhat,2711.8603938928413,25,21.63,0,0
Kamrup Metro,2736.4075269644213,0,0,0,0
Karbi Anglong,2950.1506180305773,0,0,0,0
Karimganj,1521.6417961214627,0,0,0,0
Kokrajhar,1310.1128180804044,4,2.32,0,0
Lakhimpur,3600.5906014134516,6,3.27,0,0
Majuli,1147.788811833761,0,0,0,0
Morigaon,1711.6717366888256,6,3.8,0,0
Nagaon,3438.561810236821,34,17.3,0,0
Nalbari,1323.102281160976,20,3.49,0,0
Sivasagar,3452.082660443416,26,14.15,0,0
Sonitpur,2069.7897577448352,4,2.18,0,0
South Salmara,2751.9432200238552,0,0,0,0
Tinsukia,3554.8765478219398,8,4.35,0,0
Udalguri,2128.9360970219386,3,0.86,0,0
West Karbi Anglong,267.0958345942541,0,0,0,0
