district,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Baksa,2591,1354.81,14572,6563.76
Barpeta,7887,3347.32,57227,26455.83
Biswanath,2397,1608.1,22494,12137.25
Bongaigaon,1264,500.73,13527,5519.77
Cachar,2774,1573,48938,26581.3
Charaideo,585,299.08,9649,5311.64
Chirang,2368,1602.63,10246,4990.66
Darrang,4158,1589.12,32370,14588.56
Dhemaji,1197,825.96,24287,13284.36
Dhubri,1912,1167.83,32547,17406.78
Dibrugarh,7278,2925.6,61954,29563.66
Dima Hasao,12,6.25,2039,608.04
Goalpara,1768,1000.09,19946,8369.88
Golaghat,8102,3946.62,65884,30639.96
Hailakandi,1685,666.72,17539,8149.43
Hojai,1029,631.04,22577,13429.32
Jorhat,4994,2288.26,44414,19668.55
Kamrup,6331,2759.05,62443,28954.02
Kamrup Metro,1475,1092.67,9417,6696.43
Karbi Anglong,1077,925.01,23184,8972.38
Karimganj,2202,920.02,27149,12225.42
Kokrajhar,4560,3089.79,19472,8979.28
Lakhimpur,7301,3245.84,60860,31097.45
Majuli,22,16.39,4303,1957.32
Morigaon,2638,1204.14,40437,19917.5
Nagaon,9941,3651.57,82043,37610.57
Nalbari,5536,1701.31,34452,12715.39
Sivasagar,5013,1784.8,38485,15592
Sonitpur,3646,1967.52,27272,13835.37
South Salmara,1082,513.96,2262,735.97
Tinsukia,9048,4287.8,49038,27938.69
Udalguri,584,401.16,24478,15180.95
West Karbi Anglong,179,116.38,13387,5232.22
