district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,105.14,706,602,792,1075,41,58,1308,1308,0
Changlang,1969.29,25883,20980,17427,39398,2594,2840,46181,46863,686
Dibang Valley,271.89,187,240,268,292,21,6,397,427,30
East Kameng,845.32,8155,6531,8901,9562,1122,1531,5654,14686,9034
East Siang,3265.94,37694,33447,32808,46894,10835,6991,44617,71141,25925
Kamle,123.65,789,495,898,1100,17,12,1284,1284,0
Kra Daadi,192.57,1882,1000,1780,2915,62,253,2883,2882,0
Kurung Kumey,420.09,1891,1548,1631,2918,537,437,2796,3439,639
Leparada,264.86,1776,1676,1716,1825,361,494,3024,3452,430
Lohit,667.27,7200,6025,8104,9647,1060,1617,7110,13225,6116
Longding,490.56,6700,3325,7115,7709,215,970,10026,10025,0
Lower Dibang Valley,834.25,7654,7205,8354,12424,1028,2072,3632,14859,9424
Lower Siang,936.91,20075,19802,15215,14817,9562,1319,39879,39877,0
Lower Subansiri,1051.31,4889,4137,4572,6176,555,1007,4154,9026,4877
Namsai,1572.48,20569,15427,26655,28514,2734,6700,16076,35996,19923
Papum Pare,3687.92,34052,27784,35887,44275,6037,13040,29274,61836,42027
Shi Yomi,456.95,775,643,587,1590,119,184,1418,1418,0
Siang,646.42,2234,2528,2568,2316,137,251,4764,4762,0
Tawang,949.40,2537,3076,3449,4177,545,1610,4350,5613,1265
Tirap,1137.39,8627,5989,9193,12807,467,1829,14567,14616,0
Upper Siang,567.06,2539,2265,3468,1354,224,183,4568,4804,236
Upper Subansiri,1777.27,10761,9352,11975,13879,2465,2352,7263,20113,12917
West Kameng,1228.22,6847,5972,7078,9920,651,1516,12773,12819,47
West Siang,1710.45,8704,8587,9612,8789,1328,1375,5821,17291,9469
