district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,46.13,8,77.40,21,798.88,338,3716.01,1334
Changlang,198.05,31,905.37,198,4175.07,1057,17488.35,4315
Dibang Valley,54.25,3,85.48,12,728.06,136,3178.55,784
East Kameng,25.49,7,151.31,29,1959.53,398,11563.79,2416
East Siang,234.17,29,958.66,179,10512.38,1248,56093.73,8713
Kamle,8.86,4,38.52,14,523.87,175,2133.72,812
Kra Daadi,0.13,1,61.51,21,785.97,247,4015.16,1182
Kurung Kumey,0.05,1,58.65,12,315.60,79,1494.89,276
Leparada,27.50,3,94.34,21,2276.44,493,10820.28,2372
Lohit,173.38,26,487.41,98,4304.32,1011,17964.74,4874
Longding,32.15,4,98.53,24,543.27,281,1946.55,623
Lower Dibang Valley,249.39,45,796.00,201,3484.15,470,14031.39,2605
Lower Siang,178.91,29,423.27,88,2329.12,597,11714.27,2140
Lower Subansiri,161.79,20,405.64,96,4635.38,597,24383.71,3841
Namsai,122.94,36,789.75,175,4155.81,801,20430.29,4172
Papum Pare,974.86,97,4975.13,714,67862.28,4724,303033.90,31237
Shi Yomi,0.00,0,6.56,4,316.74,65,1179.58,326
Siang,1.05,1,38.21,9,1291.64,293,4889.81,1186
Tawang,218.84,26,385.57,73,4614.12,531,16019.75,2769
Tirap,127.02,18,344.75,61,3088.67,931,10828.67,3336
Upper Siang,130.94,14,295.52,36,1842.31,401,7434.29,1948
Upper Subansiri,106.62,34,517.30,115,5272.94,822,27955.69,4634
West Kameng,309.78,45,787.28,137,15049.89,1411,38744.73,5313
West Siang,175.03,20,508.44,103,8116.45,1112,38129.02,6789
