district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,15.30,2,9.97,1,0.00,0,0.00,24.22,4
Changlang,13.28,4,0.00,0,2.79,2,3.67,76.05,11
East Kameng,1.87,1,0.00,0,12.64,5,10.82,116.85,11
East Siang,5.85,2,0.00,0,14.72,10,35.27,41.73,15
Kamle,12.02,1,19.00,1,16.90,4,28.40,59.51,6
Kra Daadi,34.13,6,9.50,1,23.14,4,40.41,57.27,10
Kurung Kumey,25.40,5,37.90,3,0.00,0,0.00,209.70,15
Leparada,15.66,3,9.50,1,2.21,1,3.41,64.81,10
Lohit,10.57,4,9.50,2,2.37,1,5.17,45.82,11
Longding,19.98,4,18.05,1,3.06,1,9.50,32.20,6
Lower Dibang Valley,16.12,2,0.00,0,7.91,3,12.99,60.91,9
Lower Siang,42.06,4,19.00,1,31.73,2,49.49,64.11,6
Lower Subansiri,86.16,12,9.50,1,68.80,36,19.50,352.86,71
Namsai,6.89,1,0.00,0,102.98,42,70.56,145.95,47
Papum Pare,759.38,143,296.35,29,634.35,224,15.40,4120.24,649
Shi Yomi,4.27,2,0.00,0,2.94,1,31.41,9.36,4
Siang,0.00,0,0.00,0,14.30,3,100.00,14.30,3
Tawang,79.34,13,41.58,6,11.17,5,9.40,118.87,29
Tirap,0.00,0,0.00,0,1.77,1,5.04,35.09,7
Upper Siang,8.82,1,0.00,0,0.00,0,0.00,17.98,4
Upper Subansiri,77.73,16,58.40,6,114.32,30,37.71,303.18,53
West Kameng,263.13,35,128.86,13,14.16,5,2.95,479.72,70
West Siang,74.99,7,25.75,2,66.49,12,36.17,183.84,25
