district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,23.80,6,51.52,6,0.00,0,0.00,0,0.00,0,75.32,12,0.00,0
Changlang,605.32,213,1611.14,364,0.00,0,103.23,11,0.00,0,2319.69,588,0.00,0
Dibang Valley,5.21,4,110.02,53,0.00,0,0.00,0,2.35,1,117.58,58,0.00,0
East Kameng,95.60,18,383.66,85,0.00,0,65.93,36,0.00,0,545.19,139,0.00,0
East Siang,155.75,17,2138.34,235,0.00,0,171.93,28,65.06,4,2531.08,284,0.00,0
Kamle,0.00,0,108.63,21,0.00,0,4.39,1,0.00,0,113.02,22,0.00,0
Kra Daadi,6.30,3,378.66,156,0.00,0,0.00,0,0.00,1,384.96,160,0.00,0
Kurung Kumey,24.30,3,1005.17,357,0.00,0,0.00,0,0.00,0,1029.47,360,0.00,0
Leparada,35.12,7,270.16,60,0.00,0,20.00,1,0.00,0,325.28,68,0.00,0
Lohit,527.17,92,591.34,100,0.00,0,89.84,14,0.00,0,1208.35,206,0.00,0
Longding,31.93,3,2739.46,955,0.00,0,39.26,4,0.00,0,2810.65,962,0.00,0
Lower Dibang Valley,17.36,3,1387.50,251,0.00,0,36.68,7,37.34,2,1478.88,263,0.00,0
Lower Siang,2.19,3,1074.75,254,0.00,0,29.78,9,0.00,0,1106.72,266,0.00,0
Lower Subansiri,245.43,19,1688.27,225,0.00,0,271.40,36,13.02,3,2218.12,283,0.00,0
Namsai,2423.20,633,1037.79,125,0.00,0,56.22,23,0.00,0,3517.21,781,0.00,0
Papum Pare,9500.74,272,30556.36,2262,1.03,1,4784.14,186,226.42,20,45068.69,2741,0.00,0
Shi Yomi,498.97,279,15.10,3,0.00,0,0.00,0,7.00,1,521.07,283,0.00,0
Siang,24.50,2,395.16,107,0.00,0,22.00,1,0.00,0,441.66,110,0.00,0
Tawang,4009.00,485,223.28,13,0.00,0,215.53,25,74.78,5,4522.59,528,0.00,0
Tirap,100.91,22,1470.31,259,0.00,0,8.25,2,4.23,2,1583.70,285,0.00,0
Upper Siang,68.47,6,335.95,94,0.00,0,3.50,1,1.00,1,408.92,102,0.00,0
Upper Subansiri,12.29,4,827.17,304,0.00,0,57.42,14,4.05,1,900.93,323,0.00,0
West Kameng,13282.44,1193,1166.94,199,12.50,1,287.94,38,151.75,14,14901.57,1445,0.00,0
West Siang,777.63,32,1229.87,228,0.00,0,77.10,8,43.90,4,2128.50,272,0.00,0
