district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,4906.02,0.00,0.00,37.42,,13111.98,0.00,0.00,37.42,4906.02,13111.98
Changlang,34968.45,1183.39,299.76,35.82,44.56,97628.91,2655.69,0.00,36.35,36451.60,100284.60
Dibang Valley,3865.44,367.17,0.00,10.51,15.05,36783.05,2440.00,0.00,10.79,4232.61,39223.05
East Kameng,751.38,25030.52,0.00,75.99,69.45,988.85,36041.59,0.00,69.62,25781.90,37030.44
East Siang,10889.32,71472.06,1284.80,24.64,43.77,44185.21,163307.46,0.00,40.31,83646.18,207492.67
Kamle,3047.10,0.00,0.00,73.98,,4118.64,0.00,0.00,73.98,3047.10,4118.64
Kra Daadi,6494.33,0.00,0.00,62.77,,10346.74,0.00,0.00,62.77,6494.33,10346.74
Kurung Kumey,6635.27,2234.81,0.00,48.58,68.57,13657.19,3259.26,0.00,52.43,8870.08,16916.45
Leparada,13689.75,1322.93,0.00,32.56,92.51,42048.11,1429.97,0.00,34.53,15012.68,43478.08
Lohit,7554.35,23330.78,319.25,51.72,43.19,14607.28,54021.97,0.00,45.47,31204.38,68629.25
Longding,14713.22,0.00,0.00,57.28,,25687.41,0.00,0.00,57.28,14713.22,25687.41
Lower Dibang Valley,1139.78,26866.62,369.56,32.07,26.81,3553.99,100221.64,0.00,27.34,28375.96,103775.63
Lower Siang,20116.48,0.00,0.00,55.43,,36289.37,0.00,0.00,55.43,20116.48,36289.37
Lower Subansiri,3707.74,40275.99,296.51,60.37,47.13,6141.92,85460.22,0.00,48.34,44280.24,91602.14
Namsai,13967.14,23032.86,713.01,35.19,32.54,39686.32,70787.88,0.00,34.14,37713.01,110474.20
Papum Pare,87128.71,522143.12,4130.00,59.44,40.24,146574.20,1297724.38,0.00,42.47,613401.83,1444298.58
Shi Yomi,1484.75,470.82,0.00,8.23,16.48,18051.03,2857.47,0.00,9.35,1955.57,20908.50
Siang,5768.06,0.00,0.00,20.56,,28054.16,0.00,0.00,20.56,5768.06,28054.16
Tawang,7964.88,22556.16,412.50,16.79,12.73,47432.32,177151.84,0.00,13.77,30933.54,224584.16
Tirap,20816.88,1173.66,0.00,46.71,56.52,44569.91,2076.56,0.00,47.14,21990.54,46646.47
Upper Siang,10883.75,691.00,0.00,22.42,21.99,48544.05,3142.26,0.00,22.39,11574.75,51686.31
Upper Subansiri,8099.51,29314.22,0.00,37.09,75.72,21836.24,38713.67,0.00,61.79,37413.73,60549.91
West Kameng,66735.69,1714.24,464.62,42.34,322.15,157601.27,532.12,0.00,43.58,68914.55,158133.39
West Siang,2944.01,46082.15,227.00,24.00,37.30,12266.09,123555.67,0.00,36.26,49253.16,135821.76
