district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,3,0,0,9,0,9,2,0,0,3,2
Changlang,15,3,0,127,8,135,11,3,0,18,14
Dibang Valley,1,0,0,3,0,3,1,1,0,1,2
East Kameng,0,10,0,11,32,43,2,9,0,10,11
East Siang,4,19,0,128,32,155,7,14,0,23,21
Kamle,1,0,0,2,0,2,1,0,0,1,1
Kra Daadi,3,0,0,5,1,6,2,0,0,3,2
Kurung Kumey,2,2,0,2,2,4,1,3,0,4,4
Leparada,2,2,0,5,1,6,4,2,0,4,6
Lohit,2,14,0,37,2,44,5,7,0,16,12
Longding,4,0,0,9,1,10,3,0,0,4,3
Lower Dibang Valley,0,11,0,157,11,170,2,9,0,11,11
Lower Siang,3,0,0,24,14,38,4,0,0,3,4
Lower Subansiri,2,14,0,374,4,378,2,10,0,16,12
Namsai,3,8,0,165,31,196,4,10,0,11,14
Papum Pare,17,105,0,318,27,842,23,59,0,122,82
Shi Yomi,1,1,0,4,1,5,2,1,0,2,3
Siang,1,0,0,8,0,8,5,0,0,1,5
Tawang,6,12,0,38,6,44,4,8,0,18,12
Tirap,5,1,0,75,0,75,4,2,0,6,6
Upper Siang,3,1,0,8,1,9,4,3,0,4,7
Upper Subansiri,3,8,0,17,2,19,6,2,0,11,8
West Kameng,25,1,0,63,2,65,15,1,0,26,16
West Siang,2,14,0,170,9,178,3,8,0,16,11
