district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,8718,103,0,103,3
Changlang,76091,3270,0,3548,23
Dibang Valley,6019,17,0,18,26
East Kameng,61937,865,3,1804,19
East Siang,54595,3735,16,4810,92
Kamle,5747,26,0,26,2
Kra Daadi,6347,294,0,357,28
Kurung Kumey,25310,222,0,506,55
Leparada,15464,417,0,590,47
Lohit,41218,905,0,2636,193
Longding,24157,1782,0,1782,17
Lower Dibang Valley,43047,1178,27,2931,187
Lower Siang,9471,1193,16,1440,10
Lower Subansiri,36670,752,0,1302,235
Namsai,41061,1425,1,2221,205
Papum Pare,196790,4763,116,12452,454
Shi Yomi,7566,181,0,216,0
Siang,6092,191,0,288,1
Tawang,35663,237,1,1450,28
Tirap,40887,1726,0,2298,10
Upper Siang,25275,93,0,213,61
Upper Subansiri,48896,1045,0,2735,82
West Kameng,49221,1068,4,1833,83
West Siang,37479,935,2,1895,60
