district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,6.00,2,0,0.00,1.76,0.00,0,0.00,4.72,1,3.36,74,54
Changlang,92.70,53,30,32.29,2.89,6.88,2,9.95,69.14,63,5.58,169,120
Dibang Valley,0.00,0,0,0.00,1.88,0.00,0,0.00,0.00,0,2.08,10,9
East Kameng,0.18,2,0,0.00,0.46,0.00,0,0.00,22.39,21,0.46,11,10
East Siang,37.71,18,15,34.43,0.00,0.00,0,0.00,131.05,100,13.53,1,0
Kamle,4.11,3,2,2.00,0.02,0.00,0,0.00,0.97,1,0.04,4,2
Kra Daadi,51.33,35,27,36.81,0.40,0.00,0,0.00,64.68,39,0.80,12,7
Kurung Kumey,111.54,28,6,18.77,0.00,4.57,2,5.91,77.32,24,0.00,4,3
Leparada,15.92,15,2,10.00,0.10,1.64,1,2.33,70.37,42,0.12,10,7
Lohit,151.71,55,22,91.55,0.19,0.79,1,0.18,430.98,201,0.54,36,21
Longding,136.32,55,6,13.00,1.35,0.00,0,0.00,10.80,4,1.64,296,247
Lower Dibang Valley,186.42,77,9,38.40,0.64,0.00,0,0.00,179.53,78,0.81,36,28
Lower Siang,46.14,19,10,24.46,0.07,0.85,2,0.72,117.77,57,13.66,4,2
Lower Subansiri,18.50,10,1,2.50,0.00,2.00,1,2.38,83.95,54,0.00,0,0
Namsai,265.67,133,36,70.93,0.41,18.62,3,3.52,529.60,369,2.88,124,49
Papum Pare,147.34,49,27,109.99,28.72,68.69,66,18.38,373.68,255,33.57,117,77
Siang,16.04,10,2,3.06,8.62,0.05,1,0.21,23.56,27,8.62,8,8
Tawang,42.00,16,16,42.00,11.24,0.00,0,0.00,24.20,12,12.75,52,48
Tirap,101.19,57,34,40.86,21.66,0.40,1,1.05,38.23,24,33.07,56,38
Upper Siang,3.00,2,0,0.00,0.00,0.00,0,0.00,15.12,13,0.00,0,0
Upper Subansiri,56.44,19,5,21.50,1.43,0.05,1,0.03,195.48,125,2.53,44,35
West Kameng,160.78,83,50,62.89,2.74,9.35,7,6.33,147.68,83,3.77,143,106
West Siang,10.01,5,3,9.00,0.01,0.00,0,0.00,100.89,76,0.02,2,1
