district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,10,17.45,1418689,17900.24,0,0.00,1,0.10,1638,61.46
Changlang,553,47.44,51,119.25,12326113,132018.85,10854,617.45,2270,34273.37,23647,778.47
Dibang Valley,0,0.00,1,5.08,848570,14349.71,2490,164.87,0,0.00,1552,99.64
East Kameng,811,150.17,4,19.23,5990452,92753.27,11150,6684.43,4901,306329.66,6963,380.10
East Siang,1642,172.92,23,178.81,16798613,222370.28,57468,3573.10,39157,318634.54,24519,857.13
Kamle,0,0.00,0,0.00,1001850,9718.45,0,0.00,0,0.00,1196,44.70
Kra Daadi,0,0.00,0,0.00,1204839,16926.89,289,56.37,10,21.12,2331,103.20
Kurung Kumey,0,0.00,8,5.59,1173538,18470.16,14143,1254.61,0,0.00,1946,143.19
Leparada,0,0.00,3,5.19,3021322,34187.68,5521,384.66,1612,459.95,4935,269.87
Lohit,295,52.32,52,282.54,6262100,92114.96,10387,910.57,7035,17156.30,12616,407.96
Longding,0,0.00,0,0.00,4728483,42564.47,11,0.02,0,0.00,9398,282.53
Lower Dibang Valley,468,62.58,25,216.15,5982694,90507.48,26580,1615.89,16823,64224.19,12513,452.59
Lower Siang,0,0.00,0,0.00,3535097,37058.16,790,177.56,39,108.52,10661,334.91
Lower Subansiri,661,83.89,11,23.25,6652163,105081.76,29115,1702.67,10551,128818.77,9899,341.13
Namsai,1274,153.13,109,446.25,6734670,100134.54,22829,1417.78,38062,136660.11,15288,514.52
Papum Pare,84817,4254.07,540562,13889.82,53357140,923027.85,400099,24665.40,355056,2430902.10,127435,6191.66
Shi Yomi,0,0.00,0,0.00,539755,8040.94,1580,101.00,0,0.00,1967,101.59
Siang,0,0.00,0,0.00,1862717,21091.06,290,65.01,24,23.50,2335,84.86
Tawang,216,26.54,10,12.72,4781795,87875.54,24682,1501.37,11629,3129.14,22410,954.09
Tirap,0,0.00,7,12.03,5984169,60781.25,1877,175.73,9,3.94,17185,546.16
Upper Siang,0,0.00,6,19.88,3030514,38220.15,9646,831.01,164,103.67,5029,204.95
Upper Subansiri,0,0.00,18,84.44,6613286,87831.69,3908,1076.95,688,2127.02,9523,568.39
West Kameng,727,94.65,5,1.71,10819722,157686.03,12494,1090.73,1862,88505.87,59565,1824.26
West Siang,887,160.18,16,104.21,11265201,149896.36,48966,2951.89,8910,301683.58,16447,576.00
