district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,6.00,2,0.11,1,0.00,0,0.00,21.99,8
Changlang,28.43,21,1.19,2,0.00,0,0.00,31.40,24
East Kameng,0.00,0,0.00,0,0.00,0,0.00,0.87,2
East Siang,47.16,22,8.81,6,5.29,3,3.96,133.66,100
Kamle,5.69,2,0.00,0,0.00,0,0.00,7.02,6
Kra Daadi,115.34,53,13.07,20,4.71,7,2.36,199.43,113
Kurung Kumey,0.00,0,0.65,2,0.70,2,14.93,4.69,8
Leparada,0.00,0,2.41,2,2.72,2,4.66,58.38,34
Lohit,208.14,57,38.76,16,0.00,0,0.00,475.29,180
Longding,22.00,7,0.00,0,0.00,0,0.00,21.97,7
Lower Dibang Valley,58.57,16,0.00,0,0.00,0,0.00,172.33,70
Lower Siang,39.48,15,2.60,2,0.85,2,1.13,75.16,40
Lower Subansiri,25.50,11,3.37,7,0.00,0,0.00,58.61,43
Namsai,539.07,105,3.21,3,7.37,1,1.38,535.13,358
Papum Pare,272.74,105,13.75,22,50.73,55,11.45,443.14,275
Siang,26.55,14,0.19,2,0.08,2,0.15,54.50,34
Tawang,0.00,0,5.06,5,1.90,3,10.10,18.81,19
Tirap,5.00,3,0.00,0,0.00,0,0.00,1.36,2
Upper Siang,3.00,2,2.35,1,0.00,0,0.00,13.45,10
Upper Subansiri,85.69,30,18.44,12,0.05,1,0.02,249.31,136
West Kameng,111.37,37,3.24,9,12.61,4,7.39,170.64,67
West Siang,10.01,5,8.04,9,0.00,0,0.00,92.55,61
