district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,PS Amt Other,PS No Other,able Amt Renew-,able No Renew-,Infra Social Amt,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,71.35,42,0.83,6,0,0,0,6,63.51,27,7.01,3,0,0
East Jaintia Hills,336.84,50,215.56,34,0,0,3.67,2,105.25,8,12.36,6,0,0
East Khasi Hills,2131.86,1372,1557.72,1249,0,0,52.15,17,293.56,31,228.43,75,0,0
North Garo Hills,257.05,102,0,0,0,0,19.31,9,216.43,89,21.31,4,0,0
Ri Bhoi,283.69,256,122.45,219,0,0,4.37,3,101.5,11,55.37,23,0,0
South Garo Hills,127.7,50,0,0,0,0,25.69,12,102.01,38,0,0,0,0
West Garo Hills,445.48,98,43.09,23,0,0,42.24,13,347.24,54,12.91,8,0,0
West Jaintia Hills,417.1,103,189.33,48,0,0,14.43,17,160.99,23,52.35,15,0,0
West Khasi Hills,118.27,33,67.89,13,0,0,2.61,1,11.37,4,36.4,15,0,0
