district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY A/C No. BURSED DIS-,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,47.97,194.39,114,405.2,212,80.3,53,166.92,55
East Jaintia Hills,4.56,9.4,11,206.02,68,102.82,27,174.68,30
East Khasi Hills,26.05,1260.25,534,4837.07,1544,1336.1,302,2385.92,313
Eastern West Khasi Hills,14.83,28.06,23,189.25,92,85.6,33,169.05,35
North Garo Hills,27.86,129.57,81,465.14,226,86.67,38,142.77,36
Ri Bhoi,24.26,196.76,118,811.07,362,310.53,111,597.12,123
South Garo Hills,44.98,203.58,119,452.59,205,79.74,31,157.73,32
South West Garo Hills,40.62,221.8,98,546.06,243,104,50,177.13,47
South West Khasi Hills,10.78,31.13,19,288.81,136,141.61,50,280.08,44
West Garo Hills,26.81,578.25,240,2156.67,713,514.22,147,1004.4,172
West Jaintia Hills,19.01,144.44,68,759.67,264,489.18,100,701.41,96
West Khasi Hills,33.33,141.48,113,424.51,221,131.79,41,241.81,45
