district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),Amt MSME Other,No MSME Other,KVIC Amt,No KVIC,Medium Amt,No Medium,Small Amt,Small No,Micro Amt,Micro No
East Garo Hills,215.36,612,4.73,3,13.53,13,0,0,10.24,5,186.86,591
East Jaintia Hills,782.73,210,0,0,0.24,1,0,0,240.79,12,541.7,197
East Khasi Hills,10594.77,2783,23.46,12,126.25,43,2134.66,8,1564.08,209,6746.32,2511
North Garo Hills,243.84,354,6.82,1,0,0,0,0,0,0,237.02,353
Ri Bhoi,936.23,836,22.19,28,31.01,22,0,0,45.97,12,837.06,774
South Garo Hills,240.95,224,5.43,4,17.37,14,0,0,0,0,218.15,206
West Garo Hills,1508.21,1564,27.23,12,17.83,11,0,0,347.55,106,1115.6,1435
West Jaintia Hills,1663.97,739,7.93,16,8.34,10,0,0,525.79,84,1121.91,629
West Khasi Hills,482.99,333,0,0,3.47,8,0,0,24.7,4,454.82,321
