district,MSME Amount Total O/S,O/S MSME No. Total,Other Amt. MSME,Other No. MSME,Medium Amt.,Medium No.,Small Amt.,Small No.,Micro Amt.,Micro No.
East Garo Hills,2885.32,1744,158.62,216,0,0,141.74,17,2584.96,1511
East Jaintia Hills,7189.26,2112,211.41,111,0,0,2315.41,166,4662.44,1835
East Khasi Hills,221530.66,16854,352.22,154,70540.32,104,32050.71,1035,118587.41,15561
Eastern West Khasi Hills,2952.29,1693,330.32,307,0,0,378.39,18,2243.58,1368
North Garo Hills,1584.97,1161,128.58,29,0,0,49.9,10,1406.49,1122
Ri Bhoi,51912.76,5609,518.14,724,4905.43,30,10421.36,301,36067.83,4554
South Garo Hills,1081.19,723,94.42,29,0,0,124.03,17,862.74,677
South West Garo Hills,2501.6,1244,108.8,32,6.93,1,361.82,35,2024.05,1176
South West Khasi Hills,1559.48,815,18.14,11,0,0,42.69,5,1498.65,799
West Garo Hills,17400.31,7296,941.41,652,258.54,10,3534.23,460,12666.13,6174
West Jaintia Hills,20594.6,6132,584.03,551,0,0,8032.54,650,11978.03,4931
West Khasi Hills,4275.12,2352,87.33,58,0,0,480.65,22,3707.14,2272
