district,Tot Amt. Minority Loan to O/S,Tot No. Minority Loan to O/S,Amt. JAINS,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUD- DHISTS,No BUD- DHISTS,Amt. MUSLIMS,No MUSLIMS,TIANS CHRIS- Amt,TIANS CHRIS- No.
East Garo Hills,1031.13,563,0,0,3.15,1,14.49,3,12.5,1,468.54,185,532.45,373
East Jaintia Hills,7325.33,3639,23.18,3,0,0,0,0,8.56,3,828.21,147,6465.38,3486
East Khasi Hills,114363.18,44811,167.01,16,0,0,1811.05,572,673.61,164,14762.74,2751,96948.77,41308
North Garo Hills,432.98,237,0,0,0,0,0,0,0,0,132.83,35,300.15,202
Ri Bhoi,24701.17,15293,183.19,15,2,1,1960.6,38,251.14,41,9234.11,1812,13070.13,13386
South Garo Hills,596.2,452,8.98,1,0,0,0,0,0,0,195.72,42,391.5,409
West Garo Hills,17479.17,9021,3.65,1,0,0,109.24,21,30.55,13,8656.95,3579,8678.78,5407
West Jaintia Hills,19166,8481,0,0,0,0,9.49,9,0.78,2,396.29,103,18759.44,8367
West Khasi Hills,8476.54,5827,0,0,0,0,11.14,6,10.24,7,297.68,149,8157.48,5665
