district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of dent girl No Disb stu- which,Disb. Number,girl of Amt which Sanctioned student,Amt tioned Sanc-,of dent girl tioned No Sanc- stu- which,No tioned Sanc-
East Garo Hills,36.1,110.28,15,38,31.66,58.84,7,12,5.96,13.1,3,5
East Jaintia Hills,71.87,144.89,30,50,10.67,27.74,4,7,7.65,10.44,5,6
East Khasi Hills,5925.84,15578.34,1212,2384,1579.02,4495.55,295,625,740.08,2238.67,128,250
North Garo Hills,15.19,42.13,3,13,0,4.69,0,2,0,3.91,0,2
Ri Bhoi,535.79,828.22,231,282,114.22,189.08,36,62,68.92,94.38,31,42
South Garo Hills,14.39,31.19,7,11,7.77,21.3,3,5,5.44,5.44,4,4
South West Garo Hills,34.71,39.38,15,18,36.23,45.22,10,13,12.45,17.13,8,11
South West Khasi Hills,68.61,108.67,32,51,37.8,58.78,10,17,8.96,14.84,5,10
West Garo Hills,294.02,708.28,115,237,102.8,352.05,37,78,31.36,84.05,20,45
West Jaintia Hills,263.78,470.41,102,164,38.66,88.31,16,29,23.56,29.7,10,15
West Khasi Hills,221.04,314.38,103,145,35.31,63.22,18,27,36.26,40.99,11,15
