district,(NPS) Total Amt. Disb ACP,Disb (NPS) ACP Total No.,NPS Others Amt.,A/C NPS Others,der Loans Amt. NPS un- Personal,der Loans A/C NPS un- Personal,Amt. (NPS) Housing,A/C ing (NPS) Hous-,Amt. (NPS) cation Edu-,A/C (NPS) cation Edu-,Amt. (NPS) Credit Exp,A/C Exp (NPS) Credit,Amt. (NPS) MSME,No. (NPS) MSME,Amt. (NPS) culture Agri-,No. (NPS) culture Agri-
East Garo Hills,10896.38,2129,9106.26,1678,1599.82,437,190.3,14,0,0,0,0,0,0,0,0
East Jaintia Hills,12834.32,1946,11253.4,1576,1390.97,364,189.95,6,0,0,0,0,0,0,0,0
East Khasi Hills,288384.41,39897,229578.28,30235,44436.06,8793,13452.74,687,917.23,181,0,0,0,0,0.1,1
North Garo Hills,6991.66,1314,6161.95,1083,633.23,220,196.48,11,0,0,0,0,0,0,0,0
Ri Bhoi,62754.81,8543,54683.8,6996,4080.98,1271,3990.03,276,0,0,0,0,0,0,0,0
South Garo Hills,6025.2,907,5246.21,710,465.94,181,313.05,16,0,0,0,0,0,0,0,0
West Garo Hills,39850.24,7307,30222.98,5155,6614.66,1966,3007.15,185,5.45,1,0,0,0,0,0,0
West Khasi Hills,5487.91,1232,3361.97,681,2090.94,546,35,5,0,0,0,0,0,0,0,0
