district,SHG Amt. % NPA,SHG Amt. NPA,SHG No. NPA,SHG Amt. O/S,SHG No. O/S,Credit Current Amount FY Linked,FY Linked No Credit Current,Savings Current Amount FY Linked,FY Linked Current No Savings,ter During Credit the Amount Linked Quar-,Quarter Linked During No the Credit,Linked Quarter During the Amount Savings,ings Quarter During Linked Sav- the No
East Garo Hills,3.75,9.64,16,256.99,268,198.8,219,158.18,2172,165,176,115.84,728
East Khasi Hills,1.79,25.79,40,1440.19,1535,1077.58,992,301.63,3977,296.92,213,157.59,513
Ri Bhoi,2.91,45.94,63,1580.88,1494,379.15,263,158.24,826,192.2,130,41.07,346
West Garo Hills,3.22,41.52,121,1288.64,1455,653.05,508,451,3887,217.77,145,304.22,1443
West Khasi Hills,1.26,10.97,28,871.14,739,367.26,265,185.84,576,186.82,127,2.22,54
