district,36.77,18.58,36.53,42.3,15799.98,1074.59,6355.94,8369.45,42966.39,5782.71,17397.57,19786.11
East Garo Hills,63.59,74.45,63.74,57.11,30871.5,4384.43,20417.64,6069.43,48547.24,5888.8,32030.85,10627.59
East Jaintia Hills,16.8,,16.7,16.49,27510.98,434.31,5164.29,21912.38,163796.21,0,30917.49,132878.72
East Khasi Hills,40.75,41.79,40.12,33.28,965213.59,814160.09,64991.69,86061.81,2368898.51,1948307.59,161992.57,258598.35
Eastern West Khasi Hills,36.77,18.58,36.53,42.3,15799.98,1074.59,6355.94,8369.45,42966.39,5782.71,17397.57,19786.11
North Garo Hills,58.74,,59.98,58.2,22189.3,0,6907.78,15281.52,37773.61,0,11517.37,26256.24
Ri Bhoi,89.37,96.37,37.35,110.38,206221.94,5035.31,24421.22,176765.41,230755.59,5225.1,65383.34,160147.15
South Garo Hills,53.77,70.52,58.47,41.2,16228.72,2425.41,9425.94,4377.37,30182.97,3439.12,16119.74,10624.11
South West Garo Hills,63.06,,65.9,62.67,23233.36,0,2922.56,20310.8,36845.75,0,4434.94,32410.81
South West Khasi Hills,35.14,,32.52,35.51,11161.64,0,1303.35,9858.29,31767.61,0,4007.45,27760.16
West Garo Hills,52.77,56.59,52.5,52.3,127235.23,11092.83,80173.98,35968.42,241097.45,19602.75,152719.19,68775.51
West Jaintia Hills,26.56,23.61,31.85,20.74,73327.15,19902.12,39100.52,14324.51,276109.21,84281.56,122749.13,69078.52
West Khasi Hills,37.88,36.7,45.13,23.47,24315.48,3144.12,16906.64,4264.72,64197.58,8568.16,37461.73,18167.69
