district,NRLM % NPA Amt.,NRLM NPA Amt.,NRLM No. NPA,A/C NRLM Amt. Irregular,NRLM A/C No. Irregular,NRLM Amt. O/S,NRLM O/S No.,Self-Help Current Amount Year Group,Group Current No. Self-Help Year
East Garo Hills,3.03,16.13,49,17.38,34,532.63,606,388.64,357
East Jaintia Hills,0,0,0,0,0,698.8,724,438.81,334
East Khasi Hills,0.31,4.56,5,3.4,8,1484.66,1655,1232.29,1021
Eastern West Khasi Hills,0.36,4.16,4,16.39,7,1144.02,802,329.68,170
North Garo Hills,10.88,35.28,107,7.58,26,324.2,469,266,269
Ri Bhoi,0.39,5.75,12,9.43,13,1471.87,1375,904.99,399
South Garo Hills,0.71,1.94,24,8.43,21,273.26,305,178.55,154
South West Garo Hills,0.38,1.5,3,0.76,20,395.69,452,341.79,230
South West Khasi Hills,0,0,0,0.01,1,609.44,536,187.46,148
West Garo Hills,2.74,37.66,92,30.57,85,1373.69,1513,834.48,609
West Jaintia Hills,0.4,5.5,6,4.12,2,1386.41,1347,744.24,643
West Khasi Hills,0,0,0,0,0,882.31,728,441.29,278
