district,% Amt. NPA NULM,Amt. NPA NULM,No. NPA NULM,Amt. O/S NULM,No. O/S NULM,rent Total Disb Amount NULM Year Cur-,Disb rent Total NULM No. Year Cur-,of SHG ciary Beneif- No. Women,Amt. SHG Women,No. SHG Women,of SHG ciary Beneif- No.,Amt SHG,No. SHG,No. ciary Beneif- of Sep-G,Amt. Sep-G,No Sep-G,Amt Sep-I,No. Sep-I
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,19.61,16.87,26,86.04,80,5.8,3,2,3.8,2,2,3.8,2,0,0,0,2,1
Ri Bhoi,0,6.42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,37.14,18.02,17,48.52,53,18.93,15,13,16.71,12,13,16.72,13,0,0,0,2.21,2
West Khasi Hills,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
