district,Rabi Number Insurance (Others),Rabi insured PMFBY under Amount,under Farmers Rabi No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,covered Kharif No. under of PMFBY Farmers,Current Year Achievement Crop Amount Loan
East Garo Hills,0,0,0,0,0,0,2.8
East Jaintia Hills,0,0,0,0,0,0,71.15
East Khasi Hills,0,0,0,0,0,0,1156.59
North Garo Hills,0,0,0,0,0,0,7.18
Ri Bhoi,0,0,0,0,0,0,508.39
South Garo Hills,0,0,0,0,0,0,6.5
West Garo Hills,0,0,0,0,0,0,569.44
West Jaintia Hills,0,0,0,0,0,0,192.12
West Khasi Hills,0,0,0,0,0,0,333.78
