District,CD RATIO September 2019,CD RATIO March 2020,CD RATIO September 2020,CD RATIO Since September 2019
Dhalai,102,96,93,-9
Gomati,65,64,61,-4
Khowai,73,65,63,-10
North Tripura,55,52,57,+2
Sepahijala,79,72,74,-5
South Tripura,61,57,58,-3
Unakoti,66,75,78,+12
West Tripura,48,51,45,-3
