district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,0.00,0,0,0.00,96.17,0.00,0,0.00,21.91,7,96.17,265,265
Changlang,16.24,3,3,16.24,208.87,2.17,2,2.98,72.72,70,208.87,1494,1494
Dibang Valley,0.00,0,0,0.00,55.32,0.00,0,0.00,0.00,0,55.32,31,31
East Kameng,0.09,1,1,0.09,43.21,0.00,0,0.00,26.61,22,43.21,194,194
East Siang,2.19,2,2,2.19,8.16,0.00,0,0.00,129.32,105,21.69,35,34
Kamle,0.00,0,0,0.00,13.52,0.00,0,0.00,4.53,3,13.52,99,99
Kra Daadi,12.26,8,8,12.26,148.55,0.00,0,0.00,229.14,136,148.55,238,238
Kurung Kumey,25.03,6,6,25.03,35.50,4.63,2,5.83,79.35,32,35.50,140,140
Leparada,0.00,0,0,0.00,43.15,1.95,1,2.50,78.14,44,43.15,103,103
Lohit,32.17,17,11,12.87,86.32,0.00,0,0.00,464.05,217,86.37,203,201
Longding,0.00,0,0,0.00,269.29,0.00,0,0.00,4.35,1,269.29,845,845
Lower Dibang Valley,16.10,5,5,16.10,11.49,0.00,0,0.00,188.01,77,11.49,24,24
Lower Siang,19.76,8,8,19.76,13.51,0.00,0,0.00,113.69,58,13.51,24,24
Lower Subansiri,18.39,12,11,16.03,5.56,0.00,0,0.00,339.97,180,5.56,56,56
Namsai,150.08,74,74,150.08,17.89,13.75,3,2.27,607.02,361,17.89,132,132
Papum Pare,40.68,47,21,36.97,145.07,68.60,65,13.87,494.76,315,145.07,450,450
Shi Yomi,0.00,0,0,0.00,0.08,0.00,0,0.00,0.00,0,0.08,2,2
Siang,7.29,6,6,7.29,39.57,0.00,0,0.00,49.09,40,39.57,113,113
Tawang,0.00,0,0,0.00,216.94,0.00,0,0.00,26.25,25,216.97,300,298
Tirap,5.00,2,2,5.00,167.39,0.00,0,0.00,19.73,9,167.39,920,920
Upper Siang,3.00,2,2,3.00,111.43,0.00,0,0.00,20.19,18,111.43,50,50
Upper Subansiri,14.86,7,7,14.86,92.83,8.10,2,2.74,295.59,182,92.83,277,277
West Kameng,8.70,13,13,11.26,258.56,9.05,2,2.80,322.97,148,258.56,520,520
West Siang,1.01,2,2,1.01,4.38,0.00,0,0.00,109.33,81,4.38,16,16
