district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,5,8.74,660011,8542.32,0,0.00,0,0.00,902,31.59
Changlang,387,21.72,16,10.48,5927011,66901.82,7645,416.78,1637,17725.10,12107,405.29
Dibang Valley,0,0.00,1,1.41,407732,7226.07,1158,77.77,0,0.00,949,67.02
East Kameng,587,85.44,5,11.12,2991945,50013.74,7344,3379.16,3986,152964.96,3783,219.96
East Siang,1281,102.05,30,166.15,8246397,117503.98,30064,2149.44,24781,158649.03,13053,485.70
Kamle,0,0.00,0,0.00,459832,4474.72,0,0.00,0,0.00,599,23.63
Kra Daadi,0,0.00,0,0.00,578493,8989.24,523,74.74,9,25.93,1195,51.97
Kurung Kumey,0,0.00,9,8.08,523509,7732.58,6578,591.80,0,0.00,861,48.73
Leparada,0,0.00,5,1.83,1503598,18451.21,3142,227.38,1408,414.90,2635,149.40
Lohit,229,30.94,44,86.42,2987020,51538.01,6148,742.25,4231,10079.44,6628,219.20
Longding,0,0.00,0,0.00,2165428,20799.38,5,0.01,0,0.00,4928,156.47
Lower Dibang Valley,319,26.77,26,146.73,2996837,50451.48,14693,936.75,9724,27964.25,6449,239.68
Lower Siang,0,0.00,0,0.00,1683593,19375.35,1087,172.80,46,97.70,5729,173.81
Lower Subansiri,552,48.66,1,0.06,4021769,66589.95,18732,1235.21,6416,67401.92,6746,270.55
Namsai,993,121.27,153,381.35,3652263,60807.58,17376,1061.67,28444,79424.23,8026,289.36
Papum Pare,49190,1829.29,540023,13440.41,26955084,508031.11,222690,22245.89,242280,1325489.80,66970,3413.66
Shi Yomi,0,0.00,0,0.00,261488,3865.66,735,47.64,0,0.00,1136,62.45
Siang,0,0.00,0,0.00,871834,10342.78,376,48.70,19,6.68,1183,43.83
Tawang,198,15.07,17,25.31,2353736,46722.40,13479,886.25,6397,2500.67,11255,506.97
Tirap,0,0.00,7,7.27,2818412,30625.09,869,82.57,2,0.59,9527,318.37
Upper Siang,0,0.00,14,75.14,1438501,18957.12,4663,409.22,158,132.65,2709,111.00
Upper Subansiri,0,0.00,19,70.43,3188711,48129.82,14797,1499.45,640,2278.36,5079,305.05
West Kameng,536,53.56,2,0.45,5863402,89685.54,13362,1030.04,4463,51293.01,31545,972.51
West Siang,561,68.95,0,0.00,5393728,74342.70,24678,1565.87,4585,159212.58,8523,315.15
