district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,3,0,0,6,0,6,2,0,0,3,2
Changlang,14,3,0,114,8,122,11,3,0,17,14
Dibang Valley,1,0,0,2,0,2,1,1,0,1,2
East Kameng,0,10,0,13,26,39,2,9,0,10,11
East Siang,4,16,0,131,30,156,7,14,0,20,21
Kamle,1,0,0,2,0,2,1,0,0,1,1
Kra Daadi,3,0,0,5,1,6,2,0,0,3,2
Kurung Kumey,2,2,0,2,2,4,1,3,0,4,4
Leparada,2,1,0,8,1,9,4,2,0,3,6
Lohit,2,11,0,29,1,35,4,6,0,13,10
Longding,3,0,0,9,1,10,3,0,0,3,3
Lower Dibang Valley,0,11,0,159,11,172,2,9,0,11,11
Lower Siang,3,0,0,24,14,38,4,0,0,3,4
Lower Subansiri,5,18,0,378,4,382,6,12,0,23,18
Namsai,4,7,0,174,28,202,4,9,0,11,13
Papum Pare,17,109,0,274,558,835,23,59,0,126,82
Shi Yomi,1,1,0,4,1,5,2,1,0,2,3
Siang,1,0,0,8,0,8,5,0,0,1,5
Tawang,6,11,0,38,6,44,4,8,0,17,12
Tirap,4,1,0,79,0,79,4,2,0,5,6
Upper Siang,3,1,0,9,1,10,4,3,0,4,7
Upper Subansiri,3,8,0,21,2,23,6,2,0,11,8
West Kameng,26,1,0,184,1,185,18,1,0,27,19
West Siang,2,14,0,162,9,170,3,8,0,16,11
