district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.12,2,0.00,0,0.00,17.04,6
Changlang,3.50,3,0.01,1,0.00,0,0.00,7.94,8
East Kameng,0.00,0,0.00,0,0.00,0,0.00,9.48,14
East Siang,6.84,3,19.64,10,8.51,5,7.06,120.56,99
Kamle,0.00,0,2.65,1,2.65,1,58.50,4.53,3
Kra Daadi,42.31,23,23.04,28,2.67,4,1.29,207.65,123
Kurung Kumey,0.00,0,0.53,1,0.70,2,9.85,7.11,9
Leparada,0.02,1,8.88,5,3.03,2,4.00,75.78,42
Lohit,84.82,28,17.80,18,0.00,0,0.00,439.34,190
Lower Dibang Valley,19.00,4,0.00,0,0.00,0,0.00,127.53,46
Lower Siang,18.67,8,0.51,1,0.00,0,0.00,100.96,55
Lower Subansiri,26.18,14,13.34,11,0.00,0,0.00,324.23,171
Namsai,364.00,62,12.95,5,7.37,1,1.25,591.89,360
Papum Pare,71.23,32,7.73,15,54.12,56,12.33,439.06,292
Siang,7.83,8,6.14,5,0.03,1,0.06,49.09,40
Tawang,0.00,0,2.30,5,1.94,2,9.81,19.77,19
Tirap,0.00,0,0.00,0,0.00,0,0.00,2.53,2
Upper Siang,3.00,2,0.00,0,0.00,0,0.00,19.51,17
Upper Subansiri,38.36,16,28.40,25,0.00,0,0.00,262.15,168
West Kameng,70.32,34,8.32,8,4.26,3,2.28,186.57,78
West Siang,1.01,2,12.79,11,0.00,0,0.00,109.33,81
