district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,3.78,2,37.00,4,0.00,0,0.00,0,0.00,0,40.78,6,0.00,0
Changlang,292.90,153,607.57,184,0.00,0,48.65,6,0.00,0,949.12,343,0.00,0
Dibang Valley,5.21,4,110.02,53,0.00,0,0.00,0,0.00,0,115.23,57,0.00,0
East Kameng,30.88,6,219.40,41,0.00,0,20.60,31,0.00,0,270.88,78,0.00,0
East Siang,87.51,10,656.32,64,0.00,0,141.50,22,40.50,2,925.83,98,0.00,0
Kamle,0.00,0,37.66,11,0.00,0,0.00,0,0.00,0,37.66,11,0.00,0
Kra Daadi,3.31,3,146.14,94,0.00,0,0.00,0,0.00,1,149.45,98,0.00,0
Kurung Kumey,14.13,2,559.88,232,0.00,0,0.00,0,0.00,0,574.01,234,0.00,0
Leparada,17.37,4,94.42,21,0.00,0,17.26,1,0.00,0,129.05,26,0.00,0
Lohit,305.92,33,1490.08,26,0.00,0,27.86,7,0.00,0,1823.86,66,0.00,0
Longding,13.43,1,1025.43,347,0.00,0,14.00,2,0.00,0,1052.86,350,0.00,0
Lower Dibang Valley,13.18,2,552.60,140,0.00,0,1.41,3,0.00,0,567.19,145,0.00,0
Lower Siang,0.00,0,486.15,95,0.00,0,6.39,3,0.00,0,492.54,98,0.00,0
Lower Subansiri,114.67,10,4283.87,230,0.00,0,243.70,29,10.02,2,4652.26,271,0.00,0
Namsai,985.51,273,338.24,70,0.00,0,21.47,14,0.00,0,1345.22,357,0.00,0
Papum Pare,8265.04,223,18289.88,1260,1.03,1,3165.39,100,165.52,11,29886.86,1595,0.00,0
Shi Yomi,492.09,273,15.05,2,0.00,0,0.00,0,0.00,0,507.14,275,0.00,0
Siang,21.50,1,58.44,18,0.00,0,0.00,0,0.00,0,82.44,20,2.50,1
Tawang,1989.89,193,122.69,5,0.00,0,73.37,7,0.00,0,2185.95,205,0.00,0
Tirap,24.64,15,637.55,131,0.00,0,0.10,1,4.00,1,666.29,148,0.00,0
Upper Siang,13.02,3,95.59,29,0.00,0,3.50,1,0.00,0,112.11,33,0.00,0
Upper Subansiri,12.28,2,511.85,190,0.00,0,10.95,10,0.00,0,535.08,203,0.00,1
West Kameng,7334.67,635,516.32,110,0.00,0,61.84,18,22.69,3,7936.52,767,1.00,1
West Siang,504.48,13,227.31,47,0.00,0,39.90,3,0.00,0,773.29,64,1.60,1
