district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,114.61,732,613,789,1110,43,142,1345,1345,0
Changlang,1850.79,25979,21129,17090,39923,2533,3681,46426,47108,686
Dibang Valley,268.70,189,245,272,300,20,6,405,434,29
East Kameng,993.76,8156,6515,8712,9628,1100,1668,5413,14671,9260
East Siang,3293.41,37445,33193,31806,46837,10662,7209,44213,70638,25640
Kamle,109.14,807,499,912,1126,16,23,1306,1306,0
Kra Daadi,172.35,1842,981,1679,2943,54,262,2825,2823,0
Kurung Kumey,285.73,1900,1575,1632,2986,542,590,2837,3475,639
Leparada,265.07,1759,1680,1611,1859,346,746,3011,3439,430
Lohit,554.34,6472,5246,6640,8410,958,1022,5486,11718,6233
Longding,425.66,6754,3366,6881,7961,221,1524,10121,10120,0
Lower Dibang Valley,697.68,6916,6133,7384,10772,951,834,3497,13049,9532
Lower Siang,863.70,19996,19796,14915,14892,9563,2095,39794,39792,0
Lower Subansiri,1120.83,6675,5562,6248,8704,732,1651,7223,12237,5021
Namsai,1635.24,20438,15399,26178,28558,2631,7165,15917,35837,19923
Papum Pare,3407.58,33127,27117,33822,42323,5254,11995,28881,60244,26685
Shi Yomi,629.55,787,661,591,1636,119,316,1448,1448,0
Siang,734.58,2265,2562,2499,2425,143,580,4829,4827,0
Tawang,902.52,2507,3019,3345,4111,531,1614,4251,5526,1277
Tirap,1085.02,8563,5965,8899,13119,503,2287,14479,14528,0
Upper Siang,593.44,2533,2272,3413,1375,245,187,4569,4805,236
Upper Subansiri,2078.44,10767,9424,11681,14143,2613,2801,7162,20191,13096
West Kameng,1339.78,8163,7096,8547,10951,884,1918,15213,15259,47
West Siang,1827.34,8541,8544,9192,8890,1313,1521,5409,17085,9614
