district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,22.47,4,69.92,18,295.25,134,3632.28,1162
Changlang,90.83,14,930.15,189,1460.61,417,16574.23,3842
Dibang Valley,8.07,1,75.11,10,257.51,65,3141.75,726
East Kameng,15.93,5,169.90,28,1113.42,201,11145.40,2214
East Siang,116.52,16,900.51,177,5305.17,681,53844.93,8169
Kamle,0.51,2,33.13,12,190.47,66,1942.25,730
Kra Daadi,2.59,4,69.07,25,389.01,137,3875.94,1085
Kurung Kumey,0.00,0,63.19,12,147.02,41,1446.46,233
Leparada,0.50,1,84.47,20,1013.80,235,10188.86,2101
Lohit,38.76,9,401.00,85,3577.32,499,17112.85,4440
Longding,8.79,1,96.53,22,276.02,78,1975.15,444
Lower Dibang Valley,70.58,17,644.14,170,2204.96,269,12981.73,2359
Lower Siang,35.80,8,322.07,68,1384.19,328,10818.26,1847
Lower Subansiri,29.68,9,408.90,117,3130.49,413,25610.54,3965
Namsai,58.66,16,797.40,164,1661.48,371,19596.77,3865
Papum Pare,763.43,62,4701.76,705,42439.07,2965,289319.90,29496
Shi Yomi,0.00,0,10.81,4,233.33,47,1299.18,317
Siang,0.00,0,37.22,7,684.79,191,4404.03,1031
Tawang,18.64,7,331.88,56,2479.32,231,15489.09,2516
Tirap,22.18,5,272.14,50,970.96,175,9858.48,2722
Upper Siang,36.14,5,214.61,27,1156.01,307,7154.86,1801
Upper Subansiri,73.14,62,457.46,121,2984.91,513,26944.29,4210
West Kameng,85.27,14,687.71,126,9023.24,821,39033.55,5478
West Siang,69.68,17,440.38,103,3936.68,623,36930.29,6322
