district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,4785.46,0.00,0.00,34.28,,13961.54,0.00,0.00,34.28,4785.46,13961.54
Changlang,33515.99,1097.06,329.73,34.79,39.35,96344.85,2787.75,0.00,35.25,34942.78,99132.60
Dibang Valley,3709.39,292.57,0.00,10.04,12.00,36944.77,2437.30,0.00,10.16,4001.96,39382.07
East Kameng,774.65,24858.32,0.00,87.17,54.29,888.64,45787.50,0.00,54.92,25632.97,46676.14
East Siang,8687.93,69170.66,794.49,19.97,43.00,43515.44,160868.71,0.00,38.48,78653.08,204384.15
Kamle,2770.59,0.00,0.00,64.94,,4266.20,0.00,0.00,64.94,2770.59,4266.20
Kra Daadi,7488.96,0.00,0.00,58.40,,12823.72,0.00,0.00,58.40,7488.96,12823.72
Kurung Kumey,6500.21,1906.02,0.00,17.41,67.73,37328.97,2814.04,0.00,20.94,8406.23,40143.01
Leparada,12187.18,1357.84,0.00,29.06,78.87,41931.67,1721.61,0.00,31.03,13545.02,43653.28
Lohit,5496.69,21242.83,7.53,37.37,39.94,14708.72,53182.06,0.00,39.40,26747.05,67890.78
Longding,14071.61,0.00,0.00,67.82,,20746.96,0.00,0.00,67.82,14071.61,20746.96
Lower Dibang Valley,2575.83,24714.91,397.80,70.71,22.66,3642.99,109067.91,0.00,24.57,27688.54,112710.90
Lower Siang,18134.90,0.00,0.00,52.79,,34350.79,0.00,0.00,52.79,18134.90,34350.79
Lower Subansiri,6276.81,39527.77,658.72,37.70,42.32,16651.08,93401.09,0.00,42.22,46463.30,110052.17
Namsai,15830.93,22267.47,737.12,39.14,33.88,40444.55,65719.39,0.00,36.58,38835.52,106163.94
Papum Pare,85147.12,489636.23,4113.02,58.24,37.25,146192.36,1314479.77,0.00,39.63,578896.37,1460672.13
Shi Yomi,1546.61,433.21,0.00,8.02,16.69,19296.18,2595.27,0.00,9.04,1979.82,21891.45
Siang,5017.52,0.00,0.00,13.99,,35870.80,0.00,0.00,13.99,5017.52,35870.80
Tawang,7440.49,19864.36,396.93,15.96,12.33,46631.12,161066.38,0.00,13.34,27701.78,207697.50
Tirap,19420.84,1183.66,0.00,45.63,61.98,42565.64,1909.84,0.00,46.33,20604.50,44475.48
Upper Siang,10572.80,595.93,0.00,20.06,18.98,52715.94,3139.46,0.00,20.00,11168.73,55855.40
Upper Subansiri,7360.51,27866.92,0.00,34.44,56.71,21369.45,49140.01,0.00,49.96,35227.43,70509.46
West Kameng,66128.28,1787.16,607.55,35.38,358.03,186891.21,499.16,0.00,36.57,68522.99,187390.37
West Siang,2268.70,44145.94,293.88,18.48,33.76,12279.27,130771.81,0.00,32.65,46708.52,143051.08
