district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,15.92,2,9.97,1,0.00,0,0.00,24.94,4
Changlang,2.33,1,0.00,0,0.23,1,0.29,80.33,11
East Kameng,1.87,1,0.00,0,13.00,5,10.91,119.19,11
East Siang,4.85,2,0.00,0,16.69,11,35.37,47.19,17
Kamle,0.00,0,0.00,0,20.02,5,37.65,53.17,6
Kra Daadi,40.82,7,9.50,1,42.21,6,50.84,83.03,13
Kurung Kumey,21.39,4,37.90,3,0.00,0,0.00,216.59,15
Leparada,3.93,1,0.00,0,21.52,2,28.51,75.47,11
Lohit,1.47,3,0.00,0,3.93,1,8.79,44.71,10
Longding,7.34,2,0.00,0,3.06,1,13.73,22.29,5
Lower Dibang Valley,10.53,1,0.00,0,1.62,2,2.60,62.33,9
Lower Siang,29.08,2,19.00,1,61.25,6,64.41,95.10,10
Lower Subansiri,80.19,13,0.00,0,72.27,39,17.60,410.69,78
Namsai,7.32,1,0.00,0,109.18,44,75.97,143.71,48
Papum Pare,489.52,102,129.26,15,452.48,166,11.41,3966.64,584
Shi Yomi,4.07,1,0.00,0,3.86,2,33.77,11.43,5
Siang,0.00,0,0.00,0,26.15,5,100.00,26.15,5
Tawang,54.42,9,38.73,5,0.71,2,0.59,119.72,29
Tirap,0.00,0,0.00,0,1.77,1,5.09,34.75,7
Upper Siang,0.00,0,0.00,0,0.00,0,0.00,21.72,6
Upper Subansiri,67.52,11,20.90,2,127.14,31,40.84,311.28,53
West Kameng,153.43,22,49.13,5,34.96,10,7.95,439.89,72
West Siang,43.84,4,6.75,1,67.35,12,37.00,182.03,26
