district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Anjaw,8148,4450,13250
Changlang,63390,67420,136422
Dibang Valley,5419,5139,8141
East Kameng,54074,39463,78544
East Siang,120377,42260,172455
Kamle,5489,2654,7421
Kra Daadi,9478,3202,13387
Kurung Kumey,24140,21330,30580
Leparada,20934,11406,28676
Lohit,35222,25310,60748
Longding,23124,16659,43671
Lower Dibang Valley,47445,32064,69099
Lower Siang,42522,7890,55029
Lower Subansiri,51413,27419,85757
Namsai,66145,31980,91860
Papum Pare,244922,178623,430712
Shi Yomi,7089,6093,10722
Siang,15930,3772,22637
Tawang,28118,20743,58510
Tirap,36299,28100,58274
Upper Siang,33547,19237,46310
Upper Subansiri,68800,33640,95640
West Kameng,49388,32155,92322
West Siang,60684,26356,97388
