district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,8498,342,0,342,3
Changlang,74115,4399,0,4669,27
Dibang Valley,5921,22,0,23,27
East Kameng,60962,1187,2,1992,17
East Siang,52774,4874,16,5558,82
Kamle,5610,46,0,46,2
Kra Daadi,6190,502,0,502,28
Kurung Kumey,24834,488,0,772,55
Leparada,15121,747,0,886,47
Lohit,39806,1521,0,1590,196
Longding,22865,2600,0,2600,19
Lower Dibang Valley,41453,1329,28,1191,183
Lower Siang,9115,2421,16,2421,10
Lower Subansiri,40671,1764,2,2382,250
Namsai,41046,1852,1,2514,206
Papum Pare,193309,13502,120,12519,485
Shi Yomi,7236,334,0,369,0
Siang,5923,673,0,673,1
Tawang,34147,473,1,1846,27
Tirap,39438,2385,0,2961,11
Upper Siang,24990,187,0,243,61
Upper Subansiri,47865,2094,0,3421,82
West Kameng,52222,1749,4,2733,128
West Siang,36577,1438,2,2272,28
