district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Bishnupur,0.00,0,840.81,126,2.11,1,403.20,253,67.48,13,1313.60,393,0.00,0
Chandel,0.00,0,7855.08,1146,0.00,0,113.54,11,22.50,2,7991.12,1159,0.00,0
Churachandpur,48.96,5,40179.49,5591,0.00,0,809.21,172,65.00,2,41112.48,5771,9.82,1
Imphal East,47.00,3,4428.06,506,2.30,2,3344.98,501,101.55,16,7927.12,1031,3.23,3
Imphal West,15.47,6,14417.52,1617,714.42,18,9208.15,1214,146.28,36,24501.84,2891,0.00,0
Jiribam,0.00,0,101.64,12,0.00,0,106.40,21,0.00,0,208.04,33,0.00,0
Kakching,14.00,1,1168.85,158,0.00,0,455.62,92,112.11,27,1750.58,278,0.00,0
Kamjong,14.00,1,449.96,79,0.00,0,11.97,1,0.00,0,475.93,81,0.00,0
Kangpokpi,2.92,2,13410.62,1986,8.00,1,155.78,19,21.81,3,13599.13,2011,0.00,0
Noney,20.00,1,1825.28,263,0.00,0,10.57,2,0.00,0,1855.85,266,0.00,0
Senapati,49.99,4,16578.30,3049,0.00,0,296.40,89,37.78,2,16963.82,3145,1.35,1
Tamenglong,7.00,1,3157.18,297,0.00,0,20.00,1,15.47,1,3199.65,300,0.00,0
Tengnoupal,26.64,2,3786.66,559,0.00,0,743.03,76,26.70,3,4583.03,640,0.00,0
Thoubal,8.00,2,652.47,121,0.00,0,4999.48,1470,80.40,6,5740.35,1599,0.00,0
Ukhrul,55.56,4,10531.91,1477,0.00,0,104.43,8,18.00,2,10709.90,1491,0.00,0
