district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Bishnupur,542.11,254,4.05,5,6.40,10,0.04,17647.21,342
Chandel,0.00,0,0.00,0,0.07,2,100.00,0.07,2
Churachandpur,920.39,435,56.30,64,11.02,9,1.31,843.19,519
Imphal East,1357.01,519,9.40,18,9.74,24,0.66,1486.74,964
Imphal West,1017.71,418,15.52,23,22.14,20,1.58,1399.28,896
Jiribam,184.50,41,1.15,4,0.22,1,0.23,95.16,81
Kakching,387.07,165,23.32,39,3.77,9,0.93,404.28,317
Kangpokpi,141.99,66,12.48,18,0.00,0,0.00,200.33,101
Noney,84.64,47,0.03,4,3.20,5,2.94,108.81,88
Senapati,191.07,79,15.78,27,0.00,0,0.00,263.22,102
Tamenglong,240.00,40,0.00,0,0.00,0,0.00,46.62,41
Tengnoupal,268.32,103,24.65,16,38.97,25,13.70,284.42,154
Thoubal,1306.11,573,124.98,82,104.32,130,7.49,1392.97,840
Ukhrul,324.00,90,1.00,0,0.00,0,0.00,94.08,82
