district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Bishnupur,189469,14706,6,18730,4870
Chandel,24032,1071,0,1666,0
Churachandpur,171039,5229,9,10316,649
Imphal East,197796,13240,7,19039,2269
Imphal West,467198,21266,22,52983,3594
Jiribam,2978,172,0,181,28
Kakching,75393,4812,0,5423,912
Kamjong,3877,201,0,201,0
Kangpokpi,65555,3066,0,6138,490
Noney,13291,2124,0,2302,77
Senapati,82641,2302,3,3242,141
Tamenglong,4692,307,0,735,11
Tengnoupal,21912,2834,0,3121,67
Thoubal,171509,14167,18,20521,2495
Ukhrul,50067,3746,0,4066,80
