district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Bishnupur,287.04,159,73,126.70,3.08,108.65,171,17.14,633.96,622,25.48,276,92
Chandel,0.00,0,0,0.00,0.04,0.07,2,100.00,0.07,2,0.40,36,15
Churachandpur,196.76,104,31,61.09,8.00,47.42,113,6.25,758.20,544,21.57,390,108
Imphal East,1040.85,402,138,368.47,0.58,36.72,54,2.43,1509.83,984,30.11,141,25
Imphal West,668.57,263,98,259.99,4.53,81.21,106,4.82,1683.50,1110,97.40,283,128
Jiribam,75.52,38,11,13.83,0.05,0.33,1,0.64,51.39,42,0.69,49,5
Kakching,226.40,130,35,74.49,2.46,62.71,103,13.42,467.17,409,5.34,237,109
Kamjong,0.00,0,0,0.00,0.00,0.00,0,0.00,0.00,0,0.01,27,2
Kangpokpi,54.58,35,12,24.48,6.20,5.12,6,2.06,248.40,129,9.79,217,45
Noney,69.00,34,13,32.00,0.08,5.74,12,4.17,137.60,116,2.43,175,40
Senapati,468.21,59,21,177.00,0.94,0.39,1,0.20,198.24,58,4.57,286,61
Tamenglong,47.43,42,12,17.46,4.01,0.85,6,1.47,58.01,58,5.35,156,97
Tengnoupal,114.00,54,49,101.00,0.04,28.91,20,11.45,252.43,139,0.10,11,5
Thoubal,1046.54,461,205,428.17,0.53,108.95,194,8.66,1258.44,889,164.62,98,29
Ukhrul,173.95,114,83,138.70,9.85,4.48,20,2.85,157.22,153,14.24,330,85
