district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Bishnupur,4,11,1,499,28,527,5,18,0,16,23
Chandel,4,0,0,70,1,71,5,0,0,4,5
Churachandpur,25,3,0,112,50,162,23,3,0,28,26
Imphal East,18,33,10,572,49,621,29,3,8,61,40
Imphal West,10,7,166,742,98,836,9,10,53,183,72
Jiribam,2,1,0,38,8,46,5,1,0,3,6
Kakching,1,18,0,100,41,141,1,11,0,19,12
Kamjong,1,0,0,49,0,49,1,0,0,1,1
Kangpokpi,10,0,0,57,9,67,15,0,0,10,15
Noney,2,0,0,36,1,37,7,0,0,2,7
Pherzawl,0,0,0,8,0,8,0,0,0,0,0
Senapati,17,0,0,47,13,60,19,0,0,17,19
Tamenglong,0,3,0,57,17,74,3,4,0,3,7
Tengnoupal,4,4,0,61,69,130,3,4,0,8,7
Thoubal,3,27,0,834,55,893,9,14,0,30,23
Ukhrul,3,7,0,191,26,217,5,6,0,10,11
