district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Bishnupur,8702.19,65796.76,3980.92,279.50,130.42,,3113.47,50448.78,0.00,146.52,78479.87,53562.25
Chandel,23770.47,20.20,119.18,74.10,,,32078.78,0.00,0.00,74.53,23909.85,32078.78
Churachandpur,122609.20,2469.55,1242.87,80.36,44.63,,152581.23,5533.16,0.00,79.89,126321.62,158114.39
Imphal East,129912.97,9135.16,56948.59,95.55,63.68,105.51,135969.52,14346.31,53972.51,95.94,195996.72,204288.34
Imphal West,43591.57,73235.25,671142.82,106.05,130.51,76.84,41105.10,56116.57,873454.51,81.18,787969.64,970676.18
Jiribam,6007.13,187.57,0.00,43.81,74.61,,13711.39,251.40,0.00,44.37,6194.70,13962.79
Kakching,1765.64,48917.22,0.00,152.18,164.13,,1160.26,29803.96,0.00,163.68,50682.86,30964.22
Kamjong,2142.94,0.00,0.00,152.41,,,1406.08,0.00,0.00,152.41,2142.94,1406.08
Kangpokpi,42128.59,0.00,0.00,77.88,,,54091.66,0.00,0.00,77.88,42128.59,54091.66
Noney,5684.49,0.00,0.00,76.21,,,7458.93,0.00,0.00,76.21,5684.49,7458.93
Pherzawl,0.00,0.00,0.00,0.00,,,5.42,0.00,0.00,0.00,0.00,5.42
Senapati,57949.09,1295.08,0.00,93.66,117.41,,61870.18,1103.03,0.00,94.08,59244.17,62973.21
Tamenglong,467.21,12766.48,0.00,45.58,87.11,,1025.10,14655.17,0.00,84.40,13233.69,15680.27
Tengnoupal,14498.32,4550.46,0.00,204.66,59.83,,7083.96,7606.04,0.00,129.67,19048.78,14690.00
Thoubal,20106.55,88613.57,5512.82,164.94,178.11,,12190.07,49751.90,0.00,184.42,114232.94,61941.97
Ukhrul,5406.65,26381.32,0.00,209.47,65.26,,2581.05,40425.92,0.00,73.91,31787.97,43006.97
