district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Bishnupur,1522,3673.90,999,6584.92,11891056,300579.92,187588,7421.35,78336,303178.14,47594,1204.63
Chandel,17,0.54,49,547.37,3879631,57885.31,9832,427.91,8305,769.10,24006,768.03
Churachandpur,1500,222.68,170,67.09,26320022,460155.41,138863,6305.04,80346,507521.23,101238,2476.04
Imphal East,6909,1092.82,412,6675.20,29910058,5597422794.53,464101,661315.20,374718,3624059322.24,78491,2080.36
Imphal West,43685,3598.05,970,9413.93,78457184,3380808937.89,1147955,460352.95,550450,2511434135.84,269044,7967.15
Jiribam,12,57.73,58,609.22,4143894,61319.79,23362,1200.29,18786,2598.18,3478,117.58
Kakching,1820,294.69,60,258.26,9218735,215152.32,109413,5228.44,107169,549403.34,35900,806.97
Kamjong,0,0.00,0,0.00,600572,10030.47,38,0.36,2,0.01,1372,35.19
Kangpokpi,3,2.00,0,0.00,11812535,205082.57,34866,1559.80,22098,5952.99,46580,1271.55
Noney,2,41.93,25,146.88,1688618,36854.09,21382,540.64,2567,628.26,3059,95.17
Pherzawl,0,0.00,12,52.11,12,52.11,0,0.00,1,0.14,0,0.00
Senapati,1185,165.02,0,1.00,12335297,190569412.77,37576,3173.19,37724,52698090.95,45480,1193.99
Tamenglong,0,0.00,38,1.92,3012138,50009.05,35139,1656.21,8114,1330.88,2000,64.11
Tengnoupal,263,69.12,6,7.43,3316982,64642.03,24074,950.79,14701,364307.03,18408,560.30
Thoubal,1506,568.20,439,9127.41,18842386,467521.32,222938,10545.02,81954,467033.59,47279,1364.69
Ukhrul,3,69.34,97,571.89,8568701,165773.97,57366,3147.97,30525,6936.83,23840,674.65
